,tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
24,tt0047034,Gojira (1954),Japan,0.0069206755181103,0.0015020416274886,2.8824294299959064e-05,0.002817180479966286
47,tt0083658,Blade Runner (1982),"USA,Hong Kong",0.0048519953360664,0.0007807151156861,0.0001047131080467,0.0019124745199330668
72,tt0070034,Enter the Dragon (1973),"Hong Kong,USA",0.0035731748598939,0.0008136908658133,2.3951208830848723e-05,0.001470272311512683
181,tt0047478,Shichinin no samurai (1954),Japan,0.0018806183473125,0.0013541808119872,8.548769988715839e-06,0.001081115976429472
198,tt0064777,Otoko wa tsurai yo (1969),Japan,0.00180539361342,0.0005087680357315,0.0,0.0007713872163838334
320,tt0055630,Yôjinbô (1961),Japan,0.0014292699439575,0.0005809855214734,8.421967216995326e-06,0.0006728924775492984
213,tt0190332,Wo hu cang long (2000),"Taiwan,Hong Kong,USA,China",0.0017677812464738,0.0001540445624493,7.79329369384474e-05,0.0006665862486205158
215,tt0066607,Zoku otoko wa tsurai yo (1969),Japan,0.0017301688795275,0.0002680308453732,0.0,0.0006660665749668999
288,tt0298363,Hesokuri shachô (1956),Japan,0.00150449467785,0.0004526159690639,0.0,0.0006523702156379666
260,tt0049782,Sora no daikaijû Radon (1956),Japan,0.0016173317786888,0.0003248711167433,4.459951112948523e-06,0.0006488876155150161
237,tt0055198,Mosura (1961),Japan,0.0016925565125813,0.0002335629266483,4.552158711792232e-06,0.0006435571993137975
239,tt0125970,Otoko wa tsurai yo: Fûten no Tora (1970),Japan,0.0016925565125813,0.0001866468814042,0.0,0.0006264011313285
249,tt0066370,Shin otoko wa tsurai yo (1970),Japan,0.001654944145635,0.0001445599972099,0.0,0.0005998347142816333
274,tt13364334,Kingu Kongu tai Gojira (1962),"Japan,USA",0.0015797194117425,0.0001636552825596,5.861868891106679e-06,0.0005830788543977355
254,tt0066190,Otoko wa tsurai yo: Boukyou hen (1970),Japan,0.0016173317786888,0.0001186774969725,0.0,0.0005786697585537666
271,tt0071953,Otoko wa tsurai yo: Junjô hen (1971),Japan,0.0015797194117425,0.0001010840285075,0.0,0.0005602678134166666
322,tt0298615,Zoku hesokuri shacho (1956),Japan,0.0014292699439575,0.0002340573505263,0.0,0.0005544424314946
279,tt0067539,Otoko wa tsurai yo: Funto hen (1971),Japan,0.0015421070447963,8.831282742707085e-05,0.0,0.0005434732907411236
404,tt0056714,Zatôichi monogatari (1962),Japan,0.0012412081092263,0.0003746923834275,0.0,0.0005386334975512667
339,tt0094625,Akira (1988),Japan,0.0013916575770113,0.0001597553005882,5.001996816796196e-05,0.000533810948589154
355,tt0067824,Tang shan da xiong (1971),Hong Kong,0.001354045210065,0.000236779349908,0.0,0.0005302748533243334
353,tt0178868,Ringu (1998),Japan,0.001354045210065,0.0001971566020307,3.46667976044403e-05,0.0005286228699000467
294,tt0067540,Otoko wa tsurai yo: Torajiro koiuta (1971),Japan,0.00150449467785,7.86000036875905e-05,0.0,0.0005276982271791968
334,tt0298357,Harikiri shacho (1956),Japan,0.0013916575770113,0.0001627723643808,0.0,0.0005181433137973667
307,tt0069051,Otoko wa tsurai yo: Shibamata bojo (1972),Japan,0.0014668823109038,7.09514206983726e-05,0.0,0.0005126112438673909
455,tt0048127,Gojira no gyakushû (1955),Japan,0.0011659833753338,0.0003489827093655,8.557701093145324e-06,0.0005078412619308151
439,tt0097202,Dip huet seung hung (1989),Hong Kong,0.00120359574228,0.0001459612093169,0.0001560831156356,0.0005018800224108334
327,tt0069052,Otoko wa tsurai yo: Torajiro yumemakura (1972),Japan,0.0014292699439575,6.476332271996024e-05,0.0,0.0004980110888924867
351,tt0298489,Oshaberi shacho (1957),Japan,0.001354045210065,0.0001260249719051,0.0,0.0004933567273233667
411,tt0042876,Rashômon (1950),Japan,0.0012412081092263,0.0002182432609765,0.0,0.00048648379006760006
332,tt0070495,Otoko wa tsurai yo: Torajiro wasurenagusa (1973),Japan,0.0013916575770113,5.964748162534104e-05,0.0,0.00048376835287888034
372,tt0298547,Shachô sandaiki (1958),Japan,0.0013164328431188,0.0001034732371932,0.0,0.0004733020267706667
354,tt0070496,Otoko wa tsurai yo: Watashi no tora-san (1973),Japan,0.001354045210065,5.534271544856434e-05,0.0,0.00046979597517118817
364,tt0071954,Otoko wa tsurai yo: Torajiro koiyatsure (1974),Japan,0.0013164328431188,5.166674306552574e-05,0.0,0.00045603319539477523
381,tt0314955,Zoku shachô sandaiki (1958),Japan,0.0012788204761725,8.816443187785621e-05,0.0,0.0004556616360167854
435,tt0058379,Mosura tai Gojira (1964),Japan,0.00120359574228,0.0001435807512171,1.2919014610234674e-05,0.0004533651693691115
393,tt0071955,Otoko wa tsurai yo: Torajiro komoriuta (1974),Japan,0.0012788204761725,4.848841752752626e-05,0.0,0.00044243629790000874
408,tt0314654,Shachô taiheiki (1959),Japan,0.0012412081092263,7.706059707648602e-05,0.0,0.0004394229021009287
409,tt0073498,Otoko wa tsurai yo: Torajiro aiaigasa (1975),Japan,0.0012412081092263,4.571092882575986e-05,0.0,0.00042897301268401993
440,tt0314956,Zoku shachô taiheiki (1959),Japan,0.00120359574228,6.861911248510238e-05,0.0,0.0004240716182550342
498,tt0077594,Game of Death (1978),"Hong Kong,USA",0.0010907586414413,0.0001432993218683,1.2981552789351548e-05,0.00041567983869965054
433,tt0073497,Otoko wa tsurai yo: Katsushika risshihen (1975),Japan,0.00120359574228,4.326122816558107e-05,0.0,0.000415618990148527
458,tt0314662,Shin santô jûyaku (1959),Japan,0.0011659833753338,6.197204037229112e-05,0.0,0.0004093184719020304
538,tt0100758,Teenage Mutant Ninja Turtles (1990),"USA,Hong Kong",0.0010155339075488,0.0001473380924499,5.053515411272213e-05,0.0004044690513704741
495,tt0104036,The Crying Game (1992),"Japan,USA",0.0010907586414413,0.0001089100852592,8.301693880956383e-06,0.0004026568068604855
446,tt0075026,Otoko wa tsurai yo: Torajiro yuuyake koyake (1976),Japan,0.0011659833753338,4.108313929823424e-05,0.0,0.0004023555048773448
547,tt0068767,Jing wu men (1972),Hong Kong,0.0010155339075488,0.000181950584309,3.824356455978563e-06,0.0004004362827712596
481,tt0314664,Shin santô jûyaku: Tabi to onna to sake no maki (1960),Japan,0.0011283710083875,5.659304778205217e-05,0.0,0.00039498801872318406
487,tt0058544,San daikaijû: Chikyû saidai no kessen (1964),Japan,0.0010907586414413,8.699781358160574e-05,1.997390531400024e-06,0.0003932512818514353
471,tt0075025,Otoko wa tsurai yo: Torajirô junjô shishû (1976),Japan,0.0011283710083875,3.913273830386464e-05,0.0,0.0003891679155637882
507,tt0059346,Kaijû daisensô (1965),"Japan,USA",0.001053146274495,9.372625333590084e-05,7.990439324558523e-06,0.0003849543223851531
