,Film,Eigenvector Centrality,Country,tconst,Year
0,The House Without a Key (1926),0.7961415569223849,USA,tt0015930,1926
1,The Chinese Parrot (1927),0.4832391284179954,USA,tt0017752,1927
2,Behind That Curtain (1929),0.29174090687774223,USA,tt0019684,1929
3,Charlie Chan Carries On (1931),0.17516441883198772,USA,tt0021733,1931
4,The Black Camel (1931),0.10458186245877056,USA,tt0021668,1931
5,Charlie Chan's Chance (1932),0.06208347374482516,USA,tt0022755,1932
6,Charlie Chan's Greatest Case (1933),0.03663959432495276,USA,tt0023881,1933
7,Charlie Chan's Courage (1934),0.021494370459564788,USA,tt0024969,1934
8,Charlie Chan in London (1934),0.012532599383693416,USA,tt0024968,1934
9,Charlie Chan in Paris (1935),0.007261750583608033,USA,tt0026198,1935
10,Charlie Chan in Egypt (1935),0.00418085433676907,USA,tt0026197,1935
11,Charlie Chan in Shanghai (1935),0.0023913900658285667,USA,tt0026199,1935
12,Oil for the Lamps of China (1935),0.001789464270940505,USA,tt0026805,1935
13,The Three Mesquiteers (1936),0.0016825163223410668,USA,tt0028372,1936
14,Swedish Erotica 23 (1981),0.0016825160582854156,USA,tt0188217,1981
15,Charlie Chan's Secret (1936),0.0013587322927117492,USA,tt0027442,1936
16,Ghost-Town Gold (1936),0.0008672764263904187,USA,tt0027670,1936
17,Swedish Erotica 26 (1981),0.0008672763187038226,USA,tt0188218,1981
18,Charlie Chan at the Circus (1936),0.0007667434777354176,USA,tt0027439,1936
19,Roarin' Lead (1936),0.00044267233073915803,USA,tt0028194,1936
20,Swedish Erotica 27 (1981),0.00044267228767174273,USA,tt0188219,1981
21,He Couldn't Take It (1933),0.00043857850762461965,USA,tt0024094,1933
22,Charlie Chan at the Race Track (1936),0.0004296667551313297,USA,tt0027441,1936
23,Charlie Chan at the Opera (1936),0.00023906151890904496,USA,tt0027440,1936
24,Live Wires (1946),0.00023080847231270752,USA,tt0038699,1946
25,Here Comes Kelly (1943),0.00022614878623797465,USA,tt0035988,1943
26,The Riders of the Whistling Skull (1937),0.00022366601485678398,USA,tt0029486,1937
27,Swedish Erotica 41 (1981),0.00022366599798151227,USA,tt0189128,1981
28,Otoko wa tsurai yo (1969),0.00022366599798151205,Japan,tt0064777,1969
29,Frankenstein (1931),0.0001912775667482424,USA,tt0021884,1931
30,Dracula (1931),0.00014782435909712688,USA,tt0021815,1931
31,Charlie Chan at the Olympics (1937),0.00013204215123891334,USA,tt0028708,1937
32,In Fast Company (1946),0.00011536410495046506,USA,tt0038636,1946
33,The Devil Horse (1926),0.00011183300939416085,USA,tt0016782,1926
34,Hit the Saddle (1937),0.00011183300546262318,USA,tt0029004,1937
35,Swedish Erotica 36 (1981),0.00011183299899075604,USA,tt0197931,1981
36,Zoku otoko wa tsurai yo (1969),0.000111832998990756,Japan,tt0066607,1969
37,Charlie Chan on Broadway (1937),7.238808130403547e-05,USA,tt0028709,1937
38,Bowery Bombshell (1946),5.7040671426345955e-05,USA,tt0038378,1946
39,Gunsmoke Ranch (1937),5.5315249239308406e-05,USA,tt0028971,1937
40,Otoko wa tsurai yo: Fûten no Tora (1970),5.531524681263205e-05,Japan,tt0125970,1970
41,Swedish Erotica 40 (1981),5.5315246812632027e-05,USA,tt0207772,1981
42,Charlie Chan at Monte Carlo (1937),3.9381963313379546e-05,USA,tt0028707,1937
43,Spook Busters (1946),2.7889342012205717e-05,USA,tt0038976,1946
44,The Frontiersmen (1938),2.7882889586644157e-05,USA,tt0030161,1938
45,"Come on, Cowboys (1937)",2.7056371612125766e-05,USA,tt0028732,1937
46,Swedish Erotica 14 (1981),2.7056370723570027e-05,USA,tt0222414,1981
47,Shin otoko wa tsurai yo (1970),2.7056370723570027e-05,Japan,tt0066370,1970
48,Charlie Chan in Honolulu (1938),2.1258142220457693e-05,USA,tt0029984,1938
49,Silver on the Sage (1939),1.3515614874831303e-05,USA,tt0031925,1939
50,Mr. Hex (1946),1.3479306110092153e-05,USA,tt0038753,1946
51,Range Defenders (1937),1.3082201546293961e-05,USA,tt0029462,1937
52,Swedish Erotica 16 (1981),1.3082201228978922e-05,USA,tt0222415,1981
53,Otoko wa tsurai yo: Boukyou hen (1970),1.3082201228978919e-05,Japan,tt0066190,1970
54,Charlie Chan in Reno (1939),1.1383350673825702e-05,USA,tt0031149,1939
55,Tarzan of the Apes (1918),7.219284445881154e-06,USA,tt0009682,1918
56,Renegade Trail (1939),6.47639027491463e-06,USA,tt0031847,1939
57,Hard Boiled Mahoney (1947),6.437257916853025e-06,USA,tt0039447,1947
58,Heart of the Rockies (1937),6.250385141986e-06,USA,tt0028986,1937
59,Swedish Erotica 17 (1981),6.25038503162326e-06,USA,tt0222416,1981
60,Otoko wa tsurai yo: Junjô hen (1971),6.250385031623256e-06,Japan,tt0071953,1971
61,Charlie Chan at Treasure Island (1939),6.045722321763731e-06,USA,tt0031147,1939
62,The Romance of Tarzan (1918),3.819745751819428e-06,USA,tt0009560,1918
63,City in Darkness (1939),3.1839991425233927e-06,USA,tt0031148,1939
64,Range War (1939),3.066819837512695e-06,USA,tt0031838,1939
65,News Hounds (1947),3.0363823135633163e-06,USA,tt0039656,1947
66,The Trigger Trio (1937),2.949619939890188e-06,USA,tt0029692,1937
67,Otoko wa tsurai yo: Funto hen (1971),2.949619902563786e-06,Japan,tt0067539,1971
68,Swedish Erotica 18 (1981),2.9496199025637856e-06,USA,tt0222417,1981
69,King Kong (1933),2.2138754840303815e-06,USA,tt0024216,1933
70,Chang: A Drama of the Wilderness (1927),2.1143880928219617e-06,USA,tt0017743,1927
71,The Lost World (1925),2.0945217620628193e-06,USA,tt0016039,1925
72,The Son of Tarzan (1920),2.00728209911267e-06,USA,tt0011717,1920
73,The Sea Hawk (1924),1.918169853104646e-06,USA,tt0015310,1924
74,Charlie Chan in Panama (1940),1.6624724681679804e-06,USA,tt0032325,1940
75,Marie Galante (1934),1.5215266743554124e-06,USA,tt0025472,1934
76,"The Beast from 20,000 Fathoms (1953)",1.4786659928498548e-06,USA,tt0045546,1953
77,Law of the Pampas (1939),1.4346999240600317e-06,USA,tt0031557,1939
78,Gojira (1954),1.4203462911830496e-06,Japan,tt0047034,1954
79,Bowery Buckaroos (1947),1.413977276945099e-06,USA,tt0039216,1947
80,Across the Wide Missouri (1951),1.4061894001737502e-06,USA,tt0043262,1951
81,Come Fill the Cup (1951),1.4061894001737502e-06,USA,tt0043424,1951
82,Detective Story (1951),1.4061894001737502e-06,USA,tt0043465,1951
83,Wild Horse Rodeo (1937),1.3742547395866992e-06,USA,tt0029776,1937
84,Swedish Erotica 19 (1981),1.3742547273308548e-06,USA,tt0222418,1981
85,Otoko wa tsurai yo: Torajiro koiuta (1971),1.3742547273308548e-06,Japan,tt0067540,1971
86,The Postman Always Rings Twice (1946),1.295163105066942e-06,USA,tt0038854,1946
87,The Revenge of Tarzan (1920),1.0475614114163557e-06,USA,tt0011624,1920
88,Charlie Chan's Murder Cruise (1940),8.603977930248955e-07,USA,tt0032326,1940
89,Lost Horizon (1937),8.108984529722163e-07,USA,tt0029162,1937
90,Three Comrades (1938),7.642124335397923e-07,USA,tt0030865,1938
91,Gojira no gyakushû (1955),7.102429953784296e-07,Japan,tt0048127,1955
92,Unknown Island (1948),7.064989812439131e-07,USA,tt0040920,1948
93,Santa Fe Marshal (1940),6.628483422575577e-07,USA,tt0033020,1940
94,Angels' Alley (1948),6.49764843405306e-07,USA,tt0040097,1948
95,The Purple Vigilantes (1938),6.318412578446569e-07,USA,tt0030636,1938
96,Hesokuri shachô (1956),6.318412539456544e-07,Japan,tt0298363,1956
97,Otoko wa tsurai yo: Shibamata bojo (1972),6.318412539452208e-07,Japan,tt0069051,1972
98,Swedish Erotica 20 (1981),6.318412539452205e-07,USA,tt0222419,1981
