tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
tt0032138,The Wizard of Oz (1939),USA,0.0275698649716026,0.0075879058946231,9.516976200002248e-05,0.011750980209408575
tt0076759,Star Wars (1977),USA,0.0289991349155602,0.0045586843689512,0.0002992119311309,0.011285677071880768
tt0054215,Psycho (1960),USA,0.0156467446496408,0.0043757994905347,2.356449264302977e-05,0.00668203621093951
tt0073195,Jaws (1975),USA,0.0129386542295106,0.0023355150198736,4.956523401467732e-05,0.005107911494466293
tt0068646,The Godfather (1972),USA,0.0129386542295106,0.0020107220326909,0.0001401864001704,0.0050298542207906334
tt0024216,King Kong (1933),USA,0.010155339075488,0.0042859807395525,3.3778618317497484e-05,0.004825032811119333
tt0062622,2001: A Space Odyssey (1968),USA,0.010606687478843,0.0026995386308445,5.3249420956664944e-05,0.004453158510214722
tt0031381,Gone with the Wind (1939),USA,0.0110204235152518,0.0023111101782912,1.7055383176288896e-06,0.004444413077286876
tt0034583,Casablanca (1942),USA,0.0109828111483055,0.0022096092982037,2.9522970524407814e-05,0.004407314472344537
tt0021884,Frankenstein (1931),USA,0.0100801143415955,0.0029099312568974,1.5413859579194078e-06,0.00433052899481694
tt0081505,The Shining (1980),USA,0.0105690751118967,0.0014245229038412,0.0003989898395547,0.004130862618430866
tt0080684,Star Wars: Episode V - The Empire Strikes Back (1980),USA,0.0100425019746492,0.0013683438470158,0.0004568425233667,0.003955896115010567
tt3400182,Taxi Driver (1976),USA,0.0091398051679392,0.0016416574512614,0.0009718603414089,0.003917774320203166
tt0088247,The Terminator (1984),USA,0.0096663783051867,0.0017140659179647,0.0002544157092466,0.003878286644132667
tt0033467,Citizen Kane (1941),USA,0.0088765185993154,0.0023169004043272,0.000209670406829,0.0038010298034905333
tt0063350,Night of the Living Dead (1968),USA,0.0089517433332079,0.0019242096673169,9.865628464199384e-05,0.0036582030950555976
tt0070047,The Exorcist (1973),USA,0.0088765185993154,0.0018425173058272,4.603254627479393e-05,0.003588356150472465
tt0021815,Dracula (1931),USA,0.005829916876669,0.0049164058867112,0.0,0.0035821075877933996
tt0082971,Raiders of the Lost Ark (1981),USA,0.0085756196637454,0.0010016956967538,0.0003888277294869,0.003322047696662033
tt0110912,Pulp Fiction (1994),USA,0.0080114341595516,0.0008335915358403,0.0010466558956036,0.0032972271969985006
tt0083866,E.T. the Extra-Terrestrial (1982),USA,0.0086132320306916,0.001022175377169,0.0001538723647702,0.0032630932575435996
tt0133093,The Matrix (1999),USA,0.0075976981231428,0.0008068590237395,0.0011864924982678,0.0031970165483833665
tt0078748,Alien (1979),USA,0.0081242712603904,0.0012297641846233,0.0001334512847661,0.003162495576593267
tt0078788,Apocalypse Now (1979),USA,0.0081242712603904,0.0011216300590144,0.0001014397747305,0.0031157803647117667
tt0086250,Scarface (1983),USA,0.0074848610223041,0.0009953946225488,0.0001694690537104,0.0028832415661877663
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),USA,0.006130815812239,0.0023588913044793,0.0001001793529564,0.002863295489891567
tt0047034,Gojira (1954),Japan,0.0069206755181103,0.0015020416274886,2.8824294299959064e-05,0.002817180479966286
tt0066921,A Clockwork Orange (1971),USA,0.0068078384172715,0.0013107827179766,0.000113569377386,0.002744063504211367
tt0029583,Snow White and the Seven Dwarfs (1937),USA,0.004927220069959,0.0032265749428048,0.0,0.0027179316709212663
tt0072271,The Texas Chain Saw Massacre (1974),USA,0.006431714747809,0.0012839628097045,0.0002249134487317,0.0026468636687484
tt0075148,Rocky (1976),USA,0.0066573889494865,0.0012665132399026,9.160167852243396e-06,0.002644354119080448
tt0087800,A Nightmare on Elm Street (1984),USA,0.006431714747809,0.0008806331943582,0.0001571920639826,0.0024898466687166003
tt0103064,Terminator 2: Judgment Day (1991),USA,0.0065069394817015,0.0006584440288629,0.0002959617798037,0.0024871150967893667
tt0077651,Halloween (1978),USA,0.0059427539775078,0.0010937867224053,0.0002253330015117,0.0024206245671416
tt0066999,Dirty Harry (1971),USA,0.0055666303080452,0.0016026346733775,5.006761465526344e-05,0.0024064441986926545
tt0086190,Star Wars: Episode VI - Return of the Jedi (1983),USA,0.006431714747809,0.0006150087469118,0.0001223012041424,0.002389674899621067
tt0087332,Ghostbusters (1984),USA,0.0062436529130778,0.0006986920091024,0.0001657953285949,0.0023693800835917
tt0088763,Back to the Future (1985),USA,0.0061684281791853,0.0006405782007495,0.0002261830083575,0.0023450631294307665
tt0107290,Jurassic Park (1993),USA,0.0063188776469703,0.0005800455714564,7.414714624863832e-05,0.002324356788225113
tt0102926,The Silence of the Lambs (1991),USA,0.0062060405461315,0.000674719293401,3.859359422691324e-05,0.002306451144586471
tt0120338,Titanic (1997),USA,0.0061684281791853,0.0006182826209495,5.1725416953278656e-05,0.0022794787390293596
tt0052357,Vertigo (1958),USA,0.005378568473314,0.0013574025290665,1.8422020162184816e-05,0.002251464340847562
tt0083944,First Blood (1982),USA,0.005228119005529,0.0010571664392421,5.420190480166162e-06,0.0020969018784170886
tt0060196,"Il buono, il brutto, il cattivo (1966)",USA,0.0051152819046902,0.0011428344230114,3.1533358846755585e-05,0.0020965498955161184
