,Film,Betweenness Centrality,Country,tconst,Year
0,The Matrix (1999),0.0011864924982678533,USA,tt0133093,1999
1,Pulp Fiction (1994),0.001046655895603633,USA,tt0110912,1994
2,Taxi Driver (1976),0.0009718603414089355,USA,tt3400182,1976
3,Scream (1996),0.0008551664898012062,USA,tt0117571,1996
4,Serial Mom (1994),0.0007656360242017273,USA,tt0111127,1994
5,Natural Born Killers (1994),0.0006337676772314148,USA,tt0110632,1994
6,Clerks (1994),0.000550375157655424,USA,tt0109445,1994
7,The Incredible Torture Show (1976),0.000516704014804338,USA,tt0077247,1976
8,Star Wars: Episode V - The Empire Strikes Back (1980),0.00045684252336670187,USA,tt0080684,1980
9,Reservoir Dogs (1992),0.0004527144600254327,USA,tt0105236,1992
10,Orgazmo (1997),0.00041580388895426585,"USA,Japan",tt0124819,1997
11,Shrek (2001),0.0003991766924269757,USA,tt0126029,2001
12,The Shining (1980),0.0003989898395547792,USA,tt0081505,1980
13,The Rocky Horror Picture Show (1975),0.0003959632351450127,USA,tt0073629,1975
14,Raiders of the Lost Ark (1981),0.0003888277294869415,USA,tt0082971,1981
15,Desperado (1995),0.0003839507247651193,USA,tt0112851,1995
16,There's Nothing Out There (1991),0.0003505757412680836,USA,tt0103077,1991
17,Kill Bill: Vol. 1 (2003),0.0003216092884798918,USA,tt0266697,2003
18,Spider-Man (2002),0.000303836552811866,USA,tt0145487,2002
19,Fight Club (1999),0.0003029705865159814,USA,tt0137523,1999
20,Star Wars (1977),0.00029921193113099573,USA,tt0076759,1977
21,Terminator 2: Judgment Day (1991),0.00029596177980378716,USA,tt0103064,1991
22,Good Hot Stuff (1975),0.0002908030693760987,USA,tt0219705,1975
23,Evil Dead II (1987),0.0002859745890168613,USA,tt0092991,1987
24,Boogie Nights (1997),0.00027390640840844154,USA,tt0118749,1997
25,Twelve Monkeys (1995),0.00026750701235016174,USA,tt0114746,1995
26,Batman (1989),0.0002559221387330704,USA,tt0096895,1989
27,The Terminator (1984),0.0002544157092466006,USA,tt0088247,1984
28,Finding Nemo (2003),0.00025326260406427926,USA,tt0266543,2003
29,American Beauty (1999),0.0002468309997896483,USA,tt0169547,1999
30,True Romance (1993),0.00024624125532556046,USA,tt0108399,1993
31,Independence Day (1996),0.00023370352482183002,USA,tt0116629,1996
32,Adam & Yves (1974),0.00023204123135211788,USA,tt0209893,1974
33,Back to the Future (1985),0.00022618300835757329,USA,tt0088763,1985
34,Halloween (1978),0.0002253330015117002,USA,tt0077651,1978
35,The Texas Chain Saw Massacre (1974),0.0002249134487317803,USA,tt0072271,1974
36,The Toolbox Murders (1978),0.00021574310859259383,USA,tt0078405,1978
37,Citizen Kane (1941),0.00020967040682906533,USA,tt0033467,1941
38,Black Christmas (1974),0.00020554303338823852,USA,tt0071222,1974
39,The Lost Boys (1987),0.00020322973515205092,USA,tt0093437,1987
40,The Blair Witch Project (1999),0.00020315684698401514,USA,tt0185937,1999
41,Shaft (1971),0.0002015563999024146,USA,tt0067741,1971
42,10 to Midnight (1983),0.00018893817951802242,USA,tt0085121,1983
43,Forrest Gump (1994),0.00018824967055004768,USA,tt0109830,1994
44,The Goonies (1985),0.00018762042291009705,USA,tt0089218,1985
45,Armageddon (1998),0.00018632679752653554,USA,tt0120591,1998
46,Lethal Weapon (1987),0.00017809206152000632,USA,tt0093409,1987
47,Spaceballs (1987),0.00017394177142212187,USA,tt0094012,1987
48,An American Werewolf in London (1981),0.0001729089934931317,USA,tt0082010,1981
49,Transformers (2007),0.00017227928399156449,USA,tt0418279,2007
50,Midnight Cowboy (1969),0.00017206866610731632,USA,tt0064665,1969
51,Scarface (1983),0.00016946905371049574,USA,tt0086250,1983
52,Head (1968),0.00016857128706373523,USA,tt0063049,1968
53,Gremlins (1984),0.00016771117171387475,USA,tt0087363,1984
54,Ghostbusters (1984),0.00016579532859498227,USA,tt0087332,1984
55,The Big Lebowski (1998),0.0001640977336018623,USA,tt0118715,1998
56,Easy Rider (1969),0.0001624134225886032,USA,tt0064276,1969
57,Austin Powers: The Spy Who Shagged Me (1999),0.00016163498603212202,USA,tt0145660,1999
58,A Nightmare on Elm Street (1984),0.00015719206398260674,USA,tt0087800,1984
59,The Lion King (1994),0.00015710483853494323,USA,tt14571278,1994
60,Beyond the Valley of the Dolls (1970),0.00015652791427474334,USA,tt0065466,1970
61,Dip huet seung hung (1989),0.00015608311563568636,Hong Kong,tt0097202,1989
62,The Insider (1999),0.00015434290108127917,USA,tt0140352,1999
63,E.T. the Extra-Terrestrial (1982),0.00015387236477022734,USA,tt0083866,1982
64,Singin' in the Rain (1952),0.00015176632397667503,USA,tt0045152,1952
65,The Lost World: Jurassic Park (1997),0.00015133340635797607,USA,tt0119567,1997
66,Indiana Jones and the Temple of Doom (1984),0.00015124889784165992,USA,tt0087469,1984
67,Last Action Hero (1993),0.00014980337135527417,USA,tt0107362,1993
68,Saturday Night Fever (1977),0.00014844167544290904,USA,tt0076666,1977
69,The Usual Suspects (1995),0.00014664806937607981,USA,tt0114814,1995
70,Alien Resurrection (1997),0.00014653670951942334,USA,tt0118583,1997
71,Young Frankenstein (1974),0.00014607319134916534,USA,tt0072431,1974
72,How the Grinch Stole Christmas (2000),0.00014467439786088783,USA,tt0170016,2000
73,Airplane! (1980),0.00014452503481369815,USA,tt0080339,1980
74,Men in Black (1997),0.00014402810043914256,USA,tt0119654,1997
75,C'era una volta il West (1968),0.00014397744092624348,USA,tt0064116,1968
76,I Know What You Did Last Summer (1997),0.0001438867405728158,USA,tt0119345,1997
77,The Evil Dead (1981),0.0001434316429090694,USA,tt0083907,1981
78,Star Wars: Episode I - The Phantom Menace (1999),0.00014311143360608018,USA,tt0120915,1999
79,Pee-wee's Big Adventure (1985),0.0001411643738967492,USA,tt0089791,1985
80,The Godfather (1972),0.0001401864001704853,USA,tt0068646,1972
81,Gladiator (2000),0.00013818457100366033,USA,tt0172495,2000
82,The Crow (1994),0.00013709653186014177,USA,tt0109506,1994
83,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.0001370866159765433,USA,tt0325980,2003
84,Charlie's Angels (2000),0.00013702806300476742,USA,tt0160127,2000
85,The Incredibles (2004),0.00013702420439596678,USA,tt0317705,2004
86,Alien (1979),0.00013345128476613253,USA,tt0078748,1979
87,History of the World: Part I (1981),0.0001321996793520781,USA,tt0082517,1981
88,Nashville (1975),0.00013051802045343472,USA,tt0073440,1975
89,Heavy Metal (1981),0.00012963210928411571,USA,tt0082509,1981
90,The Adventures of Buckaroo Banzai Across the 8th Dimension (1984),0.00012950629446331846,USA,tt0086856,1984
91,Star Wars: Episode II - Attack of the Clones (2002),0.0001288779240980874,USA,tt0121765,2002
92,Repo Man (1984),0.00012818200720253334,USA,tt0087995,1984
93,The Boondock Saints (1999),0.00012806644997206035,USA,tt0144117,1999
94,1941 (1979),0.0001274042520946571,USA,tt0078723,1979
95,Love and a .45 (1994),0.00012699363263358546,USA,tt0110395,1994
96,Aliens (1986),0.00012375759743767076,USA,tt0090605,1986
97,Star Wars: Episode VI - Return of the Jedi (1983),0.00012230120414244693,USA,tt0086190,1983
98,Eyes Wide Shut (1999),0.00012182955985586158,USA,tt0120663,1999
99,Rain Man (1988),0.00012166616026499199,USA,tt0095953,1988
100,Jersey Girl (2004),0.00012151376346354053,USA,tt0300051,2004
101,The Fisher King (1991),0.0001209105873899353,USA,tt0101889,1991
102,The 40 Year Old Virgin (2005),0.00012034718557010418,USA,tt0405422,2005
103,Female Trouble (1974),0.0001190223878132082,USA,tt0072979,1974
104,Swingers (1996),0.00011745389366756293,USA,tt0117802,1996
105,The Warriors (1979),0.00011627203264189625,USA,tt0080120,1979
106,From Dusk Till Dawn (1996),0.00011610984150343139,USA,tt0116367,1996
107,Basket Case (1982),0.00011430928572805164,USA,tt0083624,1982
108,The Philadelphia Story (1940),0.0001142704290152987,USA,tt0032904,1940
109,X-Men (2000),0.00011380541422980005,USA,tt0120903,2000
110,Scream 2 (1997),0.00011371036412419235,USA,tt0120082,1997
111,A Clockwork Orange (1971),0.00011356937738606272,USA,tt0066921,1971
112,Wayne's World (1992),0.00011335337758936158,USA,tt0105793,1992
113,Die Hard 2 (1990),0.00011228571655108529,USA,tt0099423,1990
114,The Fast and the Furious (2001),0.00011054094105889534,USA,tt0232500,2001
115,Network (1976),0.00011046531090677874,USA,tt0074958,1976
116,Nightmare (1981),0.00011042061934305138,USA,tt0082818,1981
117,The Sixth Sense (1999),0.00010978417566507971,USA,tt0167404,1999
118,Ocean's Eleven (2001),0.00010917369048079184,USA,tt0240772,2001
119,Poltergeist (1982),0.00010901656456335707,USA,tt0084516,1982
120,Friday the 13th Part VII: The New Blood (1988),0.00010762746078802093,USA,tt0095179,1988
121,Ferris Bueller's Day Off (1986),0.00010695624211129176,USA,tt0091042,1986
122,The Last House on the Left (1972),0.0001068664973551618,USA,tt0068833,1972
123,Foul Play (1978),0.00010558900520095633,USA,tt0077578,1978
124,Die Another Day (2002),0.00010524522752013422,USA,tt0246460,2002
125,Avatar (2009),0.00010486504847309977,USA,tt0499549,2009
126,Blade Runner (1982),0.00010471310804676531,"USA,Hong Kong",tt0083658,1982
127,Blazing Saddles (1974),0.00010459837748049652,USA,tt0071230,1974
128,Dark City (1998),0.00010228535950471509,USA,tt0118929,1998
129,The Blues Brothers (1980),0.00010208610727164294,USA,tt0080455,1980
130,Scary Movie 4 (2006),0.00010184385631859068,USA,tt0362120,2006
131,Apocalypse Now (1979),0.00010143977473051146,USA,tt0078788,1979
132,Terminator Salvation (2009),0.00010125141330935207,USA,tt0438488,2009
133,The Matrix Reloaded (2003),0.00010072699487382191,USA,tt0234215,2003
134,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0.0001001793529564976,USA,tt0057012,1964
135,True Lies (1994),9.990254330888171e-05,USA,tt0111503,1994
136,Night of the Living Dead (1968),9.865628464199384e-05,USA,tt0063350,1968
137,Magnolia (1999),9.821030194627884e-05,USA,tt0175880,1999
138,"Monsters, Inc. (2001)",9.715848821090768e-05,USA,tt0198781,2001
139,Double Indemnity (1944),9.671030592310979e-05,USA,tt0036775,1944
140,Friday the 13th Part VIII: Jason Takes Manhattan (1989),9.592673869215763e-05,USA,tt0097388,1989
141,The Slumber Party Massacre (1982),9.590355260105195e-05,USA,tt0084695,1982
142,The Wizard of Oz (1939),9.516976200002248e-05,USA,tt0032138,1939
143,Scary Movie (2000),9.489730883711798e-05,USA,tt0175142,2000
144,Zoolander (2001),9.450604597260325e-05,USA,tt0196229,2001
145,Troll (1986),9.368642375812574e-05,USA,tt0092115,1986
146,The Lord of the Rings: The Two Towers (2002),9.3290732213061e-05,USA,tt0167261,2002
147,Psychos in Love (1987),9.317169023100934e-05,USA,tt0093800,1987
148,I Still Know What You Did Last Summer (1998),9.291680292300903e-05,USA,tt0130018,1998
149,Trading Places (1983),9.279949310444232e-05,USA,tt0153236,1983
150,Aladdin (1992),9.230130891351588e-05,USA,tt0103639,1992
151,Resident Evil (2002),9.129851165179593e-05,USA,tt0120804,2002
152,Austin Powers: International Man of Mystery (1997),9.115652408193427e-05,USA,tt0118655,1997
153,The Mummy Returns (2001),9.094117607280374e-05,USA,tt0209163,2001
154,Gojira (1984),8.941696320482964e-05,Japan,tt9015178,1984
155,Cheech and Chong's Next Movie (1980),8.686036150436528e-05,USA,tt0080520,1980
156,Maniac (1980),8.66448309256658e-05,USA,tt0081114,1980
157,Stay Tuned (1992),8.645270163624608e-05,USA,tt0105466,1992
158,Indiana Jones and the Last Crusade (1989),8.50096117266413e-05,USA,tt0097576,1989
159,Se7en (1995),8.491106271386962e-05,USA,tt0114369,1995
160,Coming to America (1988),8.398049579741425e-05,USA,tt0094898,1988
161,The Dark Knight (2008),8.335835494639734e-05,USA,tt0468569,2008
162,Hollywood Boulevard (1976),8.27440869570477e-05,USA,tt0074633,1976
163,Death Wish (1974),8.205766515824186e-05,USA,tt0071402,1974
164,Minority Report (2002),8.14304327456152e-05,USA,tt0181689,2002
