,Film,In-Degree Centrality,Country,tconst,Year
0,Star Wars (1977),0.028999134915560235,USA,tt0076759,1977
1,The Wizard of Oz (1939),0.027569864971602662,USA,tt0032138,1939
2,Psycho (1960),0.0156467446496408,USA,tt0054215,1960
3,Jaws (1975),0.012938654229510663,USA,tt0073195,1975
4,The Godfather (1972),0.012938654229510663,USA,tt0068646,1972
5,Gone with the Wind (1939),0.011020423515251815,USA,tt0031381,1939
6,Casablanca (1942),0.010982811148305563,USA,tt0034583,1942
7,2001: A Space Odyssey (1968),0.010606687478843043,USA,tt0062622,1968
8,The Shining (1980),0.010569075111896791,USA,tt0081505,1980
9,King Kong (1933),0.01015533907548802,USA,tt0024216,1933
10,Frankenstein (1931),0.010080114341595517,USA,tt0021884,1931
11,Star Wars: Episode V - The Empire Strikes Back (1980),0.010042501974649265,USA,tt0080684,1980
12,The Terminator (1984),0.009666378305186745,USA,tt0088247,1984
13,Taxi Driver (1976),0.009139805167939219,USA,tt3400182,1976
14,Night of the Living Dead (1968),0.00895174333320796,USA,tt0063350,1968
15,Citizen Kane (1941),0.008876518599315455,USA,tt0033467,1941
16,The Exorcist (1973),0.008876518599315455,USA,tt0070047,1973
17,E.T. the Extra-Terrestrial (1982),0.00861323203069169,USA,tt0083866,1982
18,Raiders of the Lost Ark (1981),0.008575619663745438,USA,tt0082971,1981
19,Apocalypse Now (1979),0.008124271260390416,USA,tt0078788,1979
20,Alien (1979),0.008124271260390416,USA,tt0078748,1979
21,Pulp Fiction (1994),0.00801143415955166,USA,tt0110912,1994
22,The Matrix (1999),0.007597698123142889,USA,tt0133093,1999
23,Scarface (1983),0.007484861022304133,USA,tt0086250,1983
24,Gojira (1954),0.006920675518110354,Japan,tt0047034,1954
25,A Clockwork Orange (1971),0.0068078384172715984,USA,tt0066921,1971
26,Rocky (1976),0.006657388949486591,USA,tt0075148,1976
27,Terminator 2: Judgment Day (1991),0.006506939481701583,USA,tt0103064,1991
28,A Nightmare on Elm Street (1984),0.006431714747809079,USA,tt0087800,1984
29,Star Wars: Episode VI - Return of the Jedi (1983),0.006431714747809079,USA,tt0086190,1983
30,The Texas Chain Saw Massacre (1974),0.006431714747809079,USA,tt0072271,1974
31,Jurassic Park (1993),0.006318877646970323,USA,tt0107290,1993
32,Ghostbusters (1984),0.00624365291307782,USA,tt0087332,1984
33,The Silence of the Lambs (1991),0.006206040546131568,USA,tt0102926,1991
34,Back to the Future (1985),0.006168428179185316,USA,tt0088763,1985
35,Titanic (1997),0.006168428179185316,USA,tt0120338,1997
36,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0.006130815812239064,USA,tt0057012,1964
37,Halloween (1978),0.005942753977507804,USA,tt0077651,1978
38,Dracula (1931),0.005829916876669048,USA,tt0021815,1931
39,Dirty Harry (1971),0.005566630308045285,USA,tt0066999,1971
40,Vertigo (1958),0.005378568473314025,USA,tt0052357,1958
41,The Graduate (1967),0.0052657313724752694,USA,tt0061722,1967
42,First Blood (1982),0.005228119005529018,USA,tt0083944,1982
43,"Il buono, il brutto, il cattivo (1966)",0.005115281904690262,USA,tt0060196,1966
44,It's a Wonderful Life (1946),0.005002444803851506,USA,tt0038650,1946
45,Snow White and the Seven Dwarfs (1937),0.0049272200699590025,USA,tt0029583,1937
46,Deliverance (1972),0.00488960770301275,USA,tt0068473,1972
47,Blade Runner (1982),0.004851995336066499,"USA,Hong Kong",tt0083658,1982
48,Friday the 13th (1980),0.004814382969120247,USA,tt0080761,1980
49,Carrie (1976),0.004701545868281491,USA,tt0074285,1976
50,Aliens (1986),0.004588708767442735,USA,tt0090605,1986
51,Rosemary's Baby (1968),0.004551096400496483,USA,tt0063522,1968
52,Superman (1978),0.004513484033550231,USA,tt0371968,1978
53,Saturday Night Fever (1977),0.004438259299657727,USA,tt0076666,1977
54,Die Hard (1988),0.0043254221988189715,USA,tt0095016,1988
55,The Karate Kid (1984),0.004287809831872719,USA,tt0087538,1984
56,Bambi (1942),0.004250197464926468,USA,tt0034492,1942
57,Full Metal Jacket (1987),0.0042125850979802155,USA,tt0093058,1987
58,The Evil Dead (1981),0.0042125850979802155,USA,tt0083907,1981
59,Batman (1989),0.004174972731033964,USA,tt0096895,1989
60,The Sound of Music (1965),0.004137360364087712,USA,tt0059742,1965
61,Planet of the Apes (1968),0.00409974799714146,USA,tt0063442,1968
62,The Lord of the Rings: The Fellowship of the Ring (2001),0.004062135630195208,USA,tt0120737,2001
63,Sunset Blvd. (1950),0.003949298529356452,USA,tt0043014,1950
64,Jerry Maguire (1996),0.0038740737954639486,USA,tt0116695,1996
65,Mary Poppins (1964),0.0038740737954639486,USA,tt0058331,1964
66,Singin' in the Rain (1952),0.0036860119607326886,USA,tt0045152,1952
67,The Lion King (1994),0.0036483995937864368,USA,tt14571278,1994
68,The Maltese Falcon (1941),0.0036483995937864368,USA,tt0033870,1941
69,RoboCop (1987),0.003610787226840185,USA,tt0093870,1987
70,Reservoir Dogs (1992),0.003573174859893933,USA,tt0105236,1992
71,The Birds (1963),0.003573174859893933,USA,tt0056869,1963
72,Enter the Dragon (1973),0.003573174859893933,"Hong Kong,USA",tt0070034,1973
73,Dawn of the Dead (1978),0.0035355624929476813,USA,tt0077402,1978
74,Forrest Gump (1994),0.0035355624929476813,USA,tt0109830,1994
75,Easy Rider (1969),0.003497950126001429,USA,tt0064276,1969
76,Rear Window (1954),0.003497950126001429,USA,tt0047396,1954
77,Close Encounters of the Third Kind (1977),0.003497950126001429,USA,tt0075860,1977
78,Predator (1987),0.003460337759055177,USA,tt0093773,1987
79,Indiana Jones and the Temple of Doom (1984),0.003460337759055177,USA,tt0087469,1984
80,The Rocky Horror Picture Show (1975),0.003460337759055177,USA,tt0073629,1975
81,Top Gun (1986),0.0033851130251626735,USA,tt0092099,1986
82,Bride of Frankenstein (1935),0.0033851130251626735,USA,tt0026138,1935
83,Star Wars: Episode I - The Phantom Menace (1999),0.0033098882912701694,USA,tt0120915,1999
84,Rebel Without a Cause (1955),0.0033098882912701694,USA,tt0048545,1955
85,Tarzan the Ape Man (1932),0.003197051190431414,USA,tt0023551,1932
86,The Blues Brothers (1980),0.003197051190431414,USA,tt0080455,1980
87,Evil Dead II (1987),0.0031594388234851617,USA,tt0092991,1987
88,Goodfellas (1990),0.00312182645653891,USA,tt0099685,1990
89,North by Northwest (1959),0.003084214089592658,USA,tt0053125,1959
90,One Flew Over the Cuckoo's Nest (1975),0.003084214089592658,USA,tt0073486,1975
