,Film,Out-Degree Centrality,Country,tconst,Year
0,Rewind This! (2013),704,USA,tt2395970,2013
1,Adjust Your Tracking (2013),562,USA,tt2395133,2013
2,Film Geek (2005),502,USA,tt0443506,2005
3,Be Kind Rewind (2008),455,USA,tt0799934,2008
4,American Grindhouse (2010),293,USA,tt1307861,2010
5,Jersey Girl (2004),261,USA,tt0300051,2004
6,Going to Pieces: The Rise and Fall of the Slasher Film (2006),257,USA,tt0489062,2006
7,That's Sexploitation! (2013),236,USA,tt0228933,2013
8,"Nightmares in Red, White and Blue: The Evolution of the American Horror Film (2009)",226,USA,tt1337117,2009
9,Cleanflix (2009),219,USA,tt1007026,2009
10,Serial Mom (1994),213,USA,tt0111127,1994
11,A Decade Under the Influence (2003),204,USA,tt0342275,2003
12,24x36: A Movie About Movie Posters (2016),202,USA,tt5003654,2016
13,Los Angeles Plays Itself (2003),192,USA,tt0379357,2003
14,There's Nothing Out There (1991),188,USA,tt0103077,1991
15,Yes Man (2008),185,USA,tt1068680,2008
16,The Benchwarmers (2006),184,USA,tt0437863,2006
17,Schlock! The Secret History of American Movies (2001),175,USA,tt0286944,2001
18,The Holiday (2006),166,USA,tt0457939,2006
19,Screaming in High Heels: The Rise & Fall of the Scream Queen Era (2011),150,USA,tt2007995,2011
20,Corman's World: Exploits of a Hollywood Rebel (2011),139,USA,tt1185371,2011
21,Clerks (1994),129,USA,tt0109445,1994
22,The Lady with the Torch (1999),122,USA,tt0166682,1999
23,The Cutting Edge: The Magic of Movie Editing (2004),118,"USA,Japan",tt0428441,2004
24,Hollywood Mouth 3 (2017),111,USA,tt5722456,2017
25,Hollywood Mouth 2 (2014),109,USA,tt2576002,2014
26,Midnight Movies: From the Margin to the Mainstream (2005),108,USA,tt0457414,2005
27,These Amazing Shadows (2011),107,USA,tt1273222,2011
28,Pulp Fiction (1994),105,USA,tt0110912,1994
29,Life Itself (2014),104,USA,tt2382298,2014
30,Year of the Living Dead (2013),104,USA,tt2507128,2013
31,The Celluloid Closet (1995),104,USA,tt0112651,1995
32,Kill Bill: Vol. 1 (2003),99,USA,tt0266697,2003
33,Home Bound (2014),97,USA,tt2411218,2014
34,Hollywood Mouth (2008),95,USA,tt1522198,2008
35,Free Enterprise (1998),93,USA,tt0141105,1998
36,The Sci-Fi Boys (2006),93,USA,tt0800191,2006
37,Jay and Silent Bob Strike Back (2001),93,USA,tt0261392,2001
38,Remote Control (1988),88,USA,tt0093843,1988
39,Visions of Light (1992),88,"Japan,USA",tt0105764,1992
40,Kicking and Screaming (1995),87,USA,tt0113537,1995
41,"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2014)",84,USA,tt2125501,2014
42,Traceroute (2016),82,USA,tt4490762,2016
43,It Came from Hollywood (1982),82,USA,tt0084156,1982
44,Why Horror? (2014),81,"Japan,USA",tt3135424,2014
45,Films of Fury: The Kung Fu Movie Movie (2011),81,USA,tt1779401,2011
46,Boffo! Tinseltown's Bombs and Blockbusters (2006),78,USA,tt0805497,2006
47,Death Proof (2007),75,USA,tt1028528,2007
48,Strictly Background (2007),75,USA,tt0982935,2007
49,Grindhouse (2007),75,USA,tt0462322,2007
50,Side by Side (2012),74,USA,tt2511886,2012
51,(500) Days of Summer (2009),73,USA,tt1022603,2009
52,Terror in the Aisles (1984),70,USA,tt0088249,1984
53,Scream 4 (2011),68,USA,tt1262416,2011
54,Ted 2 (2015),68,USA,tt2637276,2015
55,Scary Movie 2 (2001),68,USA,tt0257106,2001
56,De Palma (2015),66,USA,tt1683048,2015
57,What Is Cinema? (2013),66,USA,tt3016642,2013
58,That's Entertainment! III (1994),66,USA,tt0111408,1994
59,Take Me Home Tonight (2011),66,USA,tt0810922,2011
60,Vito (2011),66,USA,tt1444284,2011
61,Casting By (2012),66,USA,tt1293751,2012
62,This Film Is Not Yet Rated (2006),65,USA,tt0493459,2006
63,That's Entertainment! (1974),65,USA,tt0072272,1974
64,Tales from the Warner Bros. Lot (2013),65,USA,tt2547622,2013
65,Kill Bill: Vol. 2 (2004),64,USA,tt0378194,2004
66,"That's Entertainment, Part II (1976)",64,USA,tt0075323,1976
67,The Silver Screen: Color Me Lavender (1997),63,USA,tt0152444,1997
68,Scary Movie (2000),63,USA,tt0175142,2000
69,Austin Powers in Goldmember (2002),62,USA,tt0295178,2002
70,Dead End (1985),62,USA,tt0131260,1985
71,Tropic Thunder (2008),61,USA,tt0942385,2008
