,Film,PageRank Score,Country,tconst,Year
0,The Wizard of Oz (1939),0.007587905894623185,USA,tt0032138,1939
1,Dracula (1931),0.00491640588671128,USA,tt0021815,1931
2,Star Wars (1977),0.004558684368951232,USA,tt0076759,1977
3,Psycho (1960),0.00437579949053472,USA,tt0054215,1960
4,King Kong (1933),0.004285980739552538,USA,tt0024216,1933
5,The Birth of a Nation (1915),0.003922079153001142,USA,tt0004972,1915
6,Snow White and the Seven Dwarfs (1937),0.003226574942804827,USA,tt0029583,1937
7,Frankenstein (1931),0.0029099312568974574,USA,tt0021884,1931
8,Shadow of a Doubt (1943),0.002712950045666907,USA,tt0036342,1943
9,2001: A Space Odyssey (1968),0.002699538630844503,USA,tt0062622,1968
10,The Merry Widow (1934),0.002381747981842582,USA,tt0025493,1934
11,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0.0023588913044793386,USA,tt0057012,1964
12,Jaws (1975),0.002335515019873641,USA,tt0073195,1975
13,Citizen Kane (1941),0.0023169004043272546,USA,tt0033467,1941
14,Gone with the Wind (1939),0.002311110178291281,USA,tt0031381,1939
15,Casablanca (1942),0.0022096092982037117,USA,tt0034583,1942
16,Touch of Evil (1958),0.0021490098782585266,USA,tt0052311,1958
17,Chang: A Drama of the Wilderness (1927),0.0021328056530354263,USA,tt0017743,1927
18,The Searchers (1956),0.002082137404577845,USA,tt0049730,1956
19,The Godfather (1972),0.0020107220326909406,USA,tt0068646,1972
20,Night of the Living Dead (1968),0.0019242096673169184,USA,tt0063350,1968
21,The Lost World (1925),0.0019040798602270722,USA,tt0016039,1925
22,The Exorcist (1973),0.0018425173058272957,USA,tt0070047,1973
23,The Terminator (1984),0.0017140659179647904,USA,tt0088247,1984
24,The Wizard of Oz (1925),0.0016791886421697226,USA,tt0016544,1925
25,Sh! The Octopus (1937),0.0016603494763713493,USA,tt0029541,1937
26,Tarzan the Ape Man (1932),0.0016551209845520546,USA,tt0023551,1932
27,The Poor Little Rich Girl (1917),0.0016475825952610742,USA,tt0008443,1917
28,Taxi Driver (1976),0.0016416574512614671,USA,tt3400182,1976
29,The Sea Hawk (1924),0.0016215325068386934,USA,tt0015310,1924
30,Dirty Harry (1971),0.001602634673377542,USA,tt0066999,1971
31,Gojira (1954),0.0015020416274886756,Japan,tt0047034,1954
32,"His Majesty, the Scarecrow of Oz (1914)",0.0014330130652467996,USA,tt0004099,1914
33,The Shining (1980),0.0014245229038412008,USA,tt0081505,1980
34,Rosemary's Baby (1968),0.0013838509296447133,USA,tt0063522,1968
35,Star Wars: Episode V - The Empire Strikes Back (1980),0.0013683438470158222,USA,tt0080684,1980
36,Vertigo (1958),0.0013574025290665327,USA,tt0052357,1958
37,Shichinin no samurai (1954),0.00135418081198723,Japan,tt0047478,1954
38,A Clockwork Orange (1971),0.0013107827179766028,USA,tt0066921,1971
39,Rear Window (1954),0.001303227991844161,USA,tt0047396,1954
40,The Patchwork Girl of Oz (1914),0.0013031408200795832,USA,tt0004457,1914
41,The Texas Chain Saw Massacre (1974),0.0012839628097045417,USA,tt0072271,1974
42,Singin' in the Rain (1952),0.0012750358731532,USA,tt0045152,1952
43,Rocky (1976),0.001266513239902655,USA,tt0075148,1976
44,Alien (1979),0.0012297641846233131,USA,tt0078748,1979
45,Bambi (1942),0.0012284526698256625,USA,tt0034492,1942
46,Dumbo (1941),0.0012237065853858264,USA,tt0033563,1941
47,Tarzan of the Apes (1918),0.0011985866796631556,USA,tt0009682,1918
48,Conquest of Space (1955),0.0011920334294889868,USA,tt0047947,1955
49,The General (1926),0.0011682793222157863,USA,tt0017925,1926
50,"Il buono, il brutto, il cattivo (1966)",0.0011428344230114181,USA,tt0060196,1966
51,The Lost Patrol (1934),0.0011345959336981192,USA,tt0025423,1934
52,Apocalypse Now (1979),0.0011216300590144383,USA,tt0078788,1979
53,Halloween (1978),0.001093786722405362,USA,tt0077651,1978
54,Here Come the Girls (1953),0.0010841378460594252,USA,tt0045866,1953
55,First Blood (1982),0.001057166439242115,USA,tt0083944,1982
56,E.T. the Extra-Terrestrial (1982),0.0010221753771690943,USA,tt0083866,1982
57,Greed (1924),0.0010024344586540615,USA,tt0015881,1924
58,Raiders of the Lost Ark (1981),0.0010016956967538178,USA,tt0082971,1981
59,Scarface (1983),0.0009953946225488483,USA,tt0086250,1983
60,Deliverance (1972),0.0009861881980567806,USA,tt0068473,1972
61,To Hell and Back (1955),0.0009412575284509319,USA,tt0048729,1955
62,THX 1138 (1971),0.0009391371029544488,USA,tt0066434,1971
63,It's a Wonderful Life (1946),0.000932170777815252,USA,tt0038650,1946
64,The Invisible Man (1933),0.0008968117058772377,USA,tt0024184,1933
65,The Bridge on the River Kwai (1957),0.000882151754418558,USA,tt0050212,1957
66,A Nightmare on Elm Street (1984),0.0008806331943582898,USA,tt0087800,1984
67,The Graduate (1967),0.0008803874492185866,USA,tt0061722,1967
68,Buck Rogers (1939),0.0008740409906961602,USA,tt0032290,1939
69,On the Waterfront (1954),0.0008694127876249033,USA,tt0047296,1954
70,Deep Throat (1972),0.0008684793895422795,USA,tt0068468,1972
71,Pulp Fiction (1994),0.0008335915358403283,USA,tt0110912,1994
72,Bride of Frankenstein (1935),0.0008166535587217965,USA,tt0026138,1935
73,Enter the Dragon (1973),0.0008136908658133342,"Hong Kong,USA",tt0070034,1973
74,"The Beast from 20,000 Fathoms (1953)",0.0008117264050283263,USA,tt0045546,1953
75,The Matrix (1999),0.0008068590237395437,USA,tt0133093,1999
76,Lolita (1962),0.0007993208766138741,USA,tt0056193,1962
77,The Birds (1963),0.0007921851222075704,USA,tt0056869,1963
78,My Darling Clementine (1946),0.0007835336617591662,USA,tt0038762,1946
79,Blade Runner (1982),0.000780715115686183,"USA,Hong Kong",tt0083658,1982
80,The Treasure of the Sierra Madre (1948),0.0007762766511212212,USA,tt0040897,1948
81,North by Northwest (1959),0.0007714229853622028,USA,tt0053125,1959
82,Ben-Hur (1959),0.000759730690778669,USA,tt0052618,1959
83,Invasion of the Body Snatchers (1956),0.0007502634328015687,USA,tt0049366,1956
84,5 Against the House (1955),0.0007490540295692905,USA,tt0048077,1955
85,Lady in a Cage (1964),0.0007485869846863285,USA,tt0058283,1964
86,Mutiny on the Bounty (1935),0.0007407515301087351,USA,tt0026752,1935
87,The Maltese Falcon (1941),0.0007351454361085527,USA,tt0033870,1941
88,Laura (1944),0.0007336303324942307,USA,tt0037008,1944
89,Mary Poppins (1964),0.0007325161597975306,USA,tt0058331,1964
90,Spartacus (1960),0.000729578218022934,USA,tt0054331,1960
91,Easy Rider (1969),0.000723766723692928,USA,tt0064276,1969
92,Stagecoach (1939),0.0007184663057861318,USA,tt0031971,1939
93,Lawrence of Arabia (1962),0.000709140964900816,USA,tt0056172,1962
94,Algiers (1938),0.0007008542919972802,USA,tt0029855,1938
95,Ghostbusters (1984),0.0006986920091024913,USA,tt0087332,1984
96,Quo Vadis (1951),0.0006921424600642954,USA,tt0043949,1951
97,From Here to Eternity (1953),0.0006904233244979955,USA,tt0045793,1953
98,The Romance of Tarzan (1918),0.00068838429572355,USA,tt0009560,1918
99,Johnny Guitar (1954),0.0006831645064928511,USA,tt0047136,1954
100,All Quiet on the Western Front (1930),0.0006788763206227826,USA,tt0020629,1930
101,The Circus (1928),0.0006785828984108544,USA,tt0018773,1928
102,The Magnificent Seven (1960),0.0006783461014490189,USA,tt0054047,1960
103,A Place in the Sun (1951),0.0006779791396676639,USA,tt0043924,1951
104,Aliens (1986),0.0006761652536663546,USA,tt0090605,1986
105,The Silence of the Lambs (1991),0.0006747192934010872,USA,tt0102926,1991
106,Five Star Final (1931),0.0006713423947549306,USA,tt0021873,1931
107,Terminator 2: Judgment Day (1991),0.0006584440288629378,USA,tt0103064,1991
