Film,Country,Citation Count,Film tconst,Film Year,Citing Film,Citing Film tconst,Citing Film Year,Citing Film Country
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Homeward Bound: The Incredible Journey (1993),tt0107131,1993,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Armageddon (1998),tt0120591,1998,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Killer Klowns from Outer Space (1988),tt0095444,1988,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Pacific Rim (2013),tt1663662,2013,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Street Trash (1987),tt0094057,1987,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Iron Giant (1999),tt0129167,1999,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Amazing Spider-Man (2012),tt0948470,2012,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Kronos (1957),tt0050610,1957,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The ABCs of Death (2012),tt1935896,2012,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Moulin Rouge! (2001),tt0203009,2001,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,That Man Bolt (1973),tt0070787,1973,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Remote Control (1988),tt0093843,1988,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Halloween: The Curse of Michael Myers (1995),tt0113253,1995,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Honey I Blew Up the Kid (1992),tt0104437,1992,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Serial Mom (1994),tt0111127,1994,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Stay Tuned (1992),tt0105466,1992,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Suburban Commando (1991),tt0103003,1991,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,The Last American Virgin (1982),tt0084234,1982,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Troll (1986),tt0092115,1986,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Vice Versa (1988),tt0096380,1988,USA
Gojira (1954),Japan,0.006920675518110354,tt0047034,1954,Adventures in Dinosaur City (1991),tt0103621,1991,USA
