,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Beetwenness centrality,Betwenness centrality,CineMAC rank
12186,nm3329072,Tiffany Caprice,producer,2.676802826703e-05,5.156918571859725e-15,0.178125,0.5497076023391813,0.2198830409356725,0.18196484259186335
12190,nm1017500,Sang-hoon Ahn,"writer,director",3.2121633920440005e-05,1.7898143846495835e-14,0.2125,0.5073529411764706,0.20294117647058824,0.17997126570260222
12187,nm3125601,Brian Gallagher,producer,2.141442261363e-05,5.7064687365156424e-15,0.18999999999999997,0.5263157894736842,0.21052631578947367,0.17908430097407588
12182,nm0325181,Darren Goldberg,producer,2.141442261363e-05,5.796842285790653e-15,0.1875,0.5210526315789473,0.20842105263157895,0.1771435115003917
12194,nm3146718,Eric England,director,1.338401413351e-05,5.068539005817467e-16,0.15,0.5294117647058824,0.21176470588235297,0.1698562871800041
12191,nm7869716,Gigi Qi,producer,2.141442261363e-05,1.1321887178917355e-14,0.19615384615384615,0.4411764705882353,0.17647058823529413,0.15933793279117658
12195,nm6091305,Craig Walendziak,writer,2.141442261363e-05,2.013737697996739e-15,0.13076923076923078,0.4411764705882353,0.17647058823529413,0.1429917789450204
12183,nm1993920,Anisa Qureshi,producer,2.141442261363e-05,4.504110950785494e-15,0.16666666666666666,0.3947368421052631,0.15789473684210525,0.14035623079863696
12196,nm4251668,Eric B. Fleischman,producer,2.141442261363e-05,4.0410589580836113e-16,0.13421052631578947,0.3897058823529412,0.15588235294117647,0.13098445577283618
12184,nm0740427,Kirk Roos,producer,2.4091225440330002e-05,5.656597103372609e-15,0.15384615384615383,0.3368421052631579,0.13473684210526315,0.12267808758368942
12188,nm2402050,B. Harrison Smith,"director,writer",2.4091225440330002e-05,5.104193383865264e-15,0.15833333333333333,0.3216374269005848,0.1286549707602339,0.11999871286484089
12185,nm1442694,Brant Sersen,director,1.6060816960220003e-05,2.6480023076772732e-15,0.15789473684210525,0.2684210526315789,0.10736842105263156,0.10658296257266175
12198,nm2591458,J.D. Lifshitz,producer,1.070721130681e-05,7.712020149868052e-16,0.1457142857142857,0.2316176470588235,0.09264705882352942,0.0943356599961042
12197,nm4193081,Raphael Margules,producer,1.070721130681e-05,7.712020149868052e-16,0.1457142857142857,0.2316176470588235,0.09264705882352942,0.0943356599961042
12192,nm6482501,Peng Ren,writer,1.338401413351e-05,3.000824572201875e-15,0.14166666666666666,0.2205882352941176,0.08823529411764705,0.0905670714937302
12193,nm4765142,Andy Yoon,writer,1.8737619786920002e-05,1.1753635353242374e-14,0.17586206896551723,0.0661764705882353,0.02647058823529412,0.0605143192933878
12199,nm3510596,Sean Tabibian,producer,1.338401413351e-05,3.2473430179879236e-16,0.12439024390243901,0.0808823529411764,0.032352941176470564,0.05132149521443731
12189,nm10431442,Jonathan Ilchert,producer,1.6060816960220003e-05,4.4682301463877795e-15,0.14615384615384613,0.0409356725146198,0.01637426900584792,0.04677639487135765
6,nm0372942,Ben Hecht,"writer,director",0.0006879383264628701,0.03353967286964946,0.07670895767253635,0.0142180357353782,0.00568721429415128,0.03128865115100672
0,nm0000636,William Shakespeare,writer,0.0003586915787783,0.00530925591663304,0.07657425688524143,0.0260691177759577,0.010427647110383081,0.02707783053915262
96,nm0002031,Michael Curtiz,director,0.00051394614272712,0.02340456020236084,0.07246536537484607,0.0048849900204582,0.00195399600818328,0.02531721543509806
59,nm0953123,Darryl F. Zanuck,"producer,writer,director",0.00038545960704534004,0.019969652072258023,0.0742555650647162,0.0064466823918375,0.0025786729567350004,0.025264339783964265
3,nm0281507,Richard Fleischer,director,0.00027035708549708,0.00415297453444582,0.077342694615731,0.0168997716973424,0.006759908678936961,0.024666449483254076
65,nm0851537,Norman Taurog,director,0.00038545960704534004,0.01870735990412254,0.07337320407309246,0.0060752735081662,0.0024301094032664803,0.024635324273106635
1,nm0000339,Roger Corman,"director,producer,writer",0.00030515552224423,0.00186678526875462,0.07697485755050898,0.0190595216089,0.00762380864356,0.024551579987601956
27,nm0001379,John Huston,"director,writer",0.00039081321269875005,0.0123550045126124,0.07462758033624174,0.0092062879768206,0.0036825151907282404,0.024144921509593374
2,nm0204862,John Davis,producer,0.00039884362117886005,0.00053905329907734,0.07830334381570865,0.017114773046759,0.0068459092187036,0.024089003445680962
141,nm0000581,Joseph L. Mankiewicz,"writer,director,producer",0.00031853953637775,0.01850090557272484,0.07352383614777798,0.0039645844122409,0.0015858337648963598,0.024076966417280368
142,nm0002030,George Cukor,director,0.00032389314203115004,0.01695974208931394,0.07261479525806283,0.0039443648331622,0.0015777459332648803,0.02346069883064253
5,nm0324875,Menahem Golan,"producer,director,writer",0.00036136838160501,0.00109327860645018,0.0769108454874438,0.0149698597298686,0.00598794389194744,0.023333838051341895
196,nm0001328,Howard Hawks,"director,writer",0.00030515552224423,0.017129032398153603,0.07248908296943228,0.0031077724166272,0.0012431089666508801,0.023257760826614328
11,nm0001801,Robert Towne,"writer,director",0.00022485143744311,0.0020172263331990604,0.07850566671330628,0.0117433810763846,0.004697352430553841,0.023122781390083263
10,nm0000229,Steven Spielberg,"director,producer,writer",0.00032924674768456004,0.00121384373243918,0.07827494163930768,0.0120500386336355,0.004820015453454201,0.02296701768826673
293,nm0861703,Richard Thorpe,director,0.00032121633920445,0.016819727950699522,0.0718884798373664,0.0024314512111674,0.00097258048446696,0.022865218834609444
130,nm0909825,Raoul Walsh,director,0.00040955083248567003,0.01545443415533106,0.07137393251185155,0.0041282494554517,0.0016512997821806802,0.022841541738779995
591,nm0536941,John Lee Mahin,writer,0.000289094705284,0.018223020813989722,0.07108517179634445,0.0015115396278609,0.00060461585114436,0.022777206735869766
380,nm0000406,John Ford,"director,producer",0.00036136838160501,0.01827542815741542,0.07040311854311834,0.0020608048338476,0.0008243219335390402,0.02277517997899659
8,nm0322946,Yoram Globus,producer,0.00034798436747149005,0.00108286197013818,0.07666493591670535,0.0121287142929707,0.00485148571718828,0.022556124136821433
292,nm0503777,Mervyn LeRoy,"director,producer",0.00037207559291182004,0.0171610484561949,0.07020871915511286,0.0024467922850588,0.00097871691402352,0.022547158872319593
9,nm0586969,Arnon Milchan,producer,0.00039081321269875005,0.000421564939504,0.0771208650233666,0.0120819759319162,0.004832790372766481,0.02250380477687139
14,nm0004976,Brian Grazer,"producer,writer",0.0003586915787783,0.0007845504486513,0.07715692296409023,0.0113769290874644,0.00455077163498576,0.02241927351974606
346,nm0907003,Jerry Wald,"producer,writer",0.00032924674768456004,0.01623474537656562,0.07071189117886757,0.0021785392083459,0.0008714156833383601,0.022363605627865914
308,nm0215877,Roy Del Ruth,director,0.00033995395899138006,0.01568086086660958,0.0706821980163096,0.002360109266155,0.000944043706462,0.022265780527016388
84,nm0874308,Dalton Trumbo,"writer,director",0.00035066117029819,0.0095981297590297,0.07374093155293869,0.0052042965663428,0.00208171862653712,0.022223504762152346
316,nm0550892,George Marshall,director,0.00032389314203115004,0.01572880132260986,0.07037721491466462,0.002308644165037,0.0009234576660148001,0.022184638386085656
24,nm0083696,Roger Birnbaum,producer,0.00029444831093741004,0.0008915142383305401,0.07687923049519059,0.0100518218239831,0.00402072872959324,0.02202925371711041
572,nm0368871,Henry Hathaway,director,0.0002864179024573,0.015595061411296521,0.07039781852248392,0.0015362426168584,0.00061449704674336,0.021953885113274035
19,nm0005428,Joel Silver,producer,0.00029712511376412,0.000502308235614,0.07651230022364043,0.010501650717345,0.004200660286938,0.02195334607259089
13,nm0000175,Stephen King,"writer,director",0.00029712511376412,0.00044007507237150007,0.07554530276645781,0.0113838998260265,0.0045535599304106006,0.02191660069465498
17,nm0748784,Scott Rudin,producer,0.00038278280421864,0.00060568804627858,0.07585168895778506,0.0106169335673385,0.0042467734269354,0.021864273343905196
33,nm0560857,W. Somerset Maugham,writer,0.00021414422613630002,0.008721893768310401,0.06987471668036561,0.0083896586812557,0.0033558634725022805,0.021800103339017003
600,nm0176699,Jack Conway,director,0.00027571069115048003,0.01515701770964032,0.0698248612413198,0.0014976783106439,0.0005990713242575601,0.021688816988188624
368,nm0454771,Henry King,director,0.00024894266288345,0.01374827756549352,0.07044613710554949,0.0021012565875173,0.0008405026350069201,0.02163615348036094
704,nm0397022,Sonya Levien,writer,0.00026500347984367,0.015170114760197022,0.06970919301268086,0.0013378535286616,0.00053514141146464,0.021620541195345788
542,nm0886754,W.S. Van Dyke,"director,writer",0.0002864179024573,0.01521271114590494,0.06935990308304694,0.0016036196062952,0.00064144784251808,0.021615662934426096
22,nm0000590,Edgar Allan Poe,writer,0.0001472241554687,0.0028098374414679203,0.07333995608072778,0.0101331869123347,0.00405327476493388,0.021607551147499775
31,nm0001486,Sidney Lumet,director,0.000289094705284,0.00140012455567992,0.07595642717254947,0.0085123362043681,0.00340493448174724,0.021539495659470373
36,nm0001353,Walter Hill,"director,producer,writer",0.00018737619786926002,0.0008169540660593,0.07673973302210226,0.008254751269204,0.0033019005076816003,0.021499703638808702
7,nm0000041,Akira Kurosawa,"writer,director",0.00016863857808233,0.0006696612812078601,0.07268126705585684,0.0121801170762063,0.004872046830482521,0.021424920997838333
284,nm0909259,Hal B. Wallis,producer,0.00027303388832378,0.01154843347628038,0.07136909052363788,0.0024840960930559,0.0009936384372223601,0.021418663495324484
54,nm0123194,Edgar Rice Burroughs,writer,0.00032656994485786,0.00595159161363932,0.07261354224185532,0.0067554381415654,0.0027021752566261602,0.021411785485479475
513,nm0502752,Robert Z. Leonard,director,0.00027303388832378,0.0146146653087013,0.06908490937746255,0.0016627406549128,0.0006650962619651201,0.021408837307350107
