,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
12190,nm1017500,Sang-hoon Ahn,"writer,director",3.2121633920440005e-05,1.7898143846495835e-14,0.2125,0.20294117647058824,0.10386832452613165
12187,nm3125601,Brian Gallagher,producer,2.141442261363e-05,5.7064687365156424e-15,0.18999999999999997,0.21052631578947367,0.10013693255302325
12186,nm3329072,Tiffany Caprice,producer,2.676802826703e-05,5.156918571859725e-15,0.178125,0.2198830409356725,0.09950870224098618
12182,nm0325181,Darren Goldberg,producer,2.141442261363e-05,5.796842285790653e-15,0.1875,0.20842105263157895,0.0989856167635496
12191,nm7869716,Gigi Qi,producer,2.141442261363e-05,1.1321887178917355e-14,0.19615384615384615,0.17647058823529413,0.0931614622029413
12194,nm3146718,Eric England,director,1.338401413351e-05,5.068539005817467e-16,0.15,0.21176470588235297,0.09044452247412174
12183,nm1993920,Anisa Qureshi,producer,2.141442261363e-05,4.504110950785494e-15,0.16666666666666666,0.15789473684210525,0.08114570448284751
12195,nm6091305,Craig Walendziak,writer,2.141442261363e-05,2.013737697996739e-15,0.13076923076923078,0.17647058823529413,0.07681530835678513
12196,nm4251668,Eric B. Fleischman,producer,2.141442261363e-05,4.0410589580836113e-16,0.13421052631578947,0.15588235294117647,0.07252857341989499
12184,nm0740427,Kirk Roos,producer,2.4091225440330002e-05,5.656597103372609e-15,0.15384615384615383,0.13473684210526315,0.07215177179421575
12188,nm2402050,B. Harrison Smith,"director,writer",2.4091225440330002e-05,5.104193383865264e-15,0.15833333333333333,0.1286549707602339,0.07175309882975317
12185,nm1442694,Brant Sersen,director,1.6060816960220003e-05,2.6480023076772732e-15,0.15789473684210525,0.10736842105263156,0.06631980467792492
12197,nm4193081,Raphael Margules,producer,1.070721130681e-05,7.712020149868052e-16,0.1457142857142857,0.09264705882352942,0.05959301293728068
12198,nm2591458,J.D. Lifshitz,producer,1.070721130681e-05,7.712020149868052e-16,0.1457142857142857,0.09264705882352942,0.05959301293728068
12192,nm6482501,Peng Ren,writer,1.338401413351e-05,3.000824572201875e-15,0.14166666666666666,0.08823529411764705,0.057478836199612554
12193,nm4765142,Andy Yoon,writer,1.8737619786920002e-05,1.1753635353242374e-14,0.17586206896551723,0.02647058823529412,0.05058784870515251
12189,nm10431442,Jonathan Ilchert,producer,1.6060816960220003e-05,4.4682301463877795e-15,0.14615384615384613,0.01637426900584792,0.040636043994164685
12199,nm3510596,Sean Tabibian,producer,1.338401413351e-05,3.2473430179879236e-16,0.12439024390243901,0.032352941176470564,0.039189142273260855
6,nm0372942,Ben Hecht,"writer,director",0.0006879383264628701,0.03353967286964946,0.07670895767253635,0.00568721429415128,0.029155945790699994
96,nm0002031,Michael Curtiz,director,0.00051394614272712,0.02340456020236084,0.07246536537484607,0.00195399600818328,0.024584466932029328
