,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
12190,nm1017500,Sang-hoon Ahn,"writer,director",3.2121633920440005e-05,1.7898143846495835e-14,0.2125,0.20294117647058824,0.10386832452613165
12194,nm3146718,Eric England,director,1.338401413351e-05,5.068539005817467e-16,0.15,0.21176470588235297,0.09044452247412174
12195,nm6091305,Craig Walendziak,writer,2.141442261363e-05,2.013737697996739e-15,0.13076923076923078,0.17647058823529413,0.07681530835678513
12188,nm2402050,B. Harrison Smith,"director,writer",2.4091225440330002e-05,5.104193383865264e-15,0.15833333333333333,0.1286549707602339,0.07175309882975317
12185,nm1442694,Brant Sersen,director,1.6060816960220003e-05,2.6480023076772732e-15,0.15789473684210525,0.10736842105263156,0.06631980467792492
12192,nm6482501,Peng Ren,writer,1.338401413351e-05,3.000824572201875e-15,0.14166666666666666,0.08823529411764705,0.057478836199612554
12193,nm4765142,Andy Yoon,writer,1.8737619786920002e-05,1.1753635353242374e-14,0.17586206896551723,0.02647058823529412,0.05058784870515251
6,nm0372942,Ben Hecht,"writer,director",0.0006879383264628701,0.03353967286964946,0.07670895767253635,0.00568721429415128,0.029155945790699994
96,nm0002031,Michael Curtiz,director,0.00051394614272712,0.02340456020236084,0.07246536537484607,0.00195399600818328,0.024584466932029328
59,nm0953123,Darryl F. Zanuck,"producer,writer,director",0.00038545960704534004,0.019969652072258023,0.0742555650647162,0.0025786729567350004,0.02429733742518864
65,nm0851537,Norman Taurog,director,0.00038545960704534004,0.01870735990412254,0.07337320407309246,0.0024301094032664803,0.023724033246881705
141,nm0000581,Joseph L. Mankiewicz,"writer,director,producer",0.00031853953637775,0.01850090557272484,0.07352383614777798,0.0015858337648963598,0.023482278755444234
0,nm0000636,William Shakespeare,writer,0.0003586915787783,0.00530925591663304,0.07657425688524143,0.010427647110383081,0.023167462872758962
142,nm0002030,George Cukor,director,0.00032389314203115004,0.01695974208931394,0.07261479525806283,0.0015777459332648803,0.022869044105668198
196,nm0001328,Howard Hawks,"director,writer",0.00030515552224423,0.017129032398153603,0.07248908296943228,0.0012431089666508801,0.022791594964120247
27,nm0001379,John Huston,"director,writer",0.00039081321269875005,0.0123550045126124,0.07462758033624174,0.0036825151907282404,0.022763978313070282
591,nm0536941,John Lee Mahin,writer,0.000289094705284,0.018223020813989722,0.07108517179634445,0.00060461585114436,0.022550475791690634
293,nm0861703,Richard Thorpe,director,0.00032121633920445,0.016819727950699522,0.0718884798373664,0.00097258048446696,0.02250050115293433
380,nm0000406,John Ford,"director,producer",0.00036136838160501,0.01827542815741542,0.07040311854311834,0.0008243219335390402,0.02246605925391945
130,nm0909825,Raoul Walsh,director,0.00040955083248567003,0.01545443415533106,0.07137393251185155,0.0016512997821806802,0.02222230432046224
