,nconst,name_x,roles_x,works,tconst,rank,CineMAC rank,Film
454,nm0002031,Michael Curtiz,director,tt0034583,tt0034583,8.0,0.0044073144723445,Casablanca (1942)
195,nm0372942,Ben Hecht,"writer,director",tt0086250,tt0086250,24.0,0.0028832415661877,Scarface (1983)
21,nm3329072,Tiffany Caprice,producer,tt1409805,tt1409805,4785.0,5.648229754038063e-05,Swooped: Based on a Real Life Occurrence (2011)
106,nm2591458,J.D. Lifshitz,producer,tt2281159,tt2281159,10318.0,2.3035801223839525e-05,Contracted (2013)
116,nm4765142,Andy Yoon,writer,tt2025506,tt2025506,10755.0,2.3035801223839525e-05,Beul-la-in-deu (2011)
46,nm3146718,Eric England,director,tt2281159,tt2281159,10318.0,2.3035801223839525e-05,Contracted (2013)
8,nm1017500,Sang-hoon Ahn,"writer,director",tt2025506,tt2025506,10755.0,2.3035801223839525e-05,Beul-la-in-deu (2011)
102,nm4193081,Raphael Margules,producer,tt2281159,tt2281159,10318.0,2.3035801223839525e-05,Contracted (2013)
63,nm6091305,Craig Walendziak,writer,tt4444798,tt4444798,11624.0,2.063356793785364e-05,DeS.O.L.ation (2013)
85,nm2402050,B. Harrison Smith,"director,writer",tt2002789,tt2002789,12863.0,1.9432451294860697e-05,6 Degrees of Hell (2012)
121,nm10431442,Jonathan Ilchert,producer,tt2002789,tt2002789,12863.0,1.9432451294860697e-05,6 Degrees of Hell (2012)
95,nm1442694,Brant Sersen,director,tt0379184,tt0379184,13575.0,1.893224189826985e-05,Blackballed: The Bobby Dukes Story (2004)
79,nm0740427,Kirk Roos,producer,tt4998772,tt4998772,17638.0,5.693879003117112e-06,Bedeviled (2016)
42,nm7869716,Gigi Qi,producer,tt5662906,tt5662906,23718.0,5.693879003117112e-06,Zhuo mi cang (2016)
51,nm1993920,Anisa Qureshi,producer,tt1254696,tt1254696,25921.0,5.693879003117112e-06,Splinterheads (2009)
67,nm4251668,Eric B. Fleischman,producer,tt4045894,tt4045894,25566.0,5.693879003117112e-06,Get the Girl (2017)
17,nm3125601,Brian Gallagher,producer,tt1504353,tt1504353,17214.0,5.693879003117112e-06,Booted (2011)
30,nm0325181,Darren Goldberg,producer,tt1935902,tt1935902,22344.0,5.693879003117112e-06,The Brass Teapot (2012)
126,nm3510596,Sean Tabibian,producer,tt4045894,tt4045894,25566.0,5.693879003117112e-06,Get the Girl (2017)
107,nm6482501,Peng Ren,writer,tt3720058,tt3720058,24989.0,5.693879003117112e-06,Cui mian da shi (2014)
