,Unnamed: 0,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
0,12190,Sang-hoon Ahn,"writer,director",0.0,0.0,0.212,0.203,0.104
1,12187,Brian Gallagher,producer,0.0,0.0,0.19,0.211,0.1
2,12186,Tiffany Caprice,producer,0.0,0.0,0.178,0.22,0.1
3,12182,Darren Goldberg,producer,0.0,0.0,0.188,0.208,0.099
4,12191,Gigi Qi,producer,0.0,0.0,0.196,0.176,0.093
5,12194,Eric England,director,0.0,0.0,0.15,0.212,0.09
6,12183,Anisa Qureshi,producer,0.0,0.0,0.167,0.158,0.081
7,12195,Craig Walendziak,writer,0.0,0.0,0.131,0.176,0.077
8,12196,Eric B. Fleischman,producer,0.0,0.0,0.134,0.156,0.073
9,12184,Kirk Roos,producer,0.0,0.0,0.154,0.135,0.072
10,12188,B. Harrison Smith,"director,writer",0.0,0.0,0.158,0.129,0.072
11,12185,Brant Sersen,director,0.0,0.0,0.158,0.107,0.066
12,12197,Raphael Margules,producer,0.0,0.0,0.146,0.093,0.06
13,12198,J.D. Lifshitz,producer,0.0,0.0,0.146,0.093,0.06
14,12192,Peng Ren,writer,0.0,0.0,0.142,0.088,0.057
15,12193,Andy Yoon,writer,0.0,0.0,0.176,0.026,0.051
16,12189,Jonathan Ilchert,producer,0.0,0.0,0.146,0.016,0.041
17,12199,Sean Tabibian,producer,0.0,0.0,0.124,0.032,0.039
18,6,Ben Hecht,"writer,director",0.001,0.034,0.077,0.006,0.029
19,96,Michael Curtiz,director,0.001,0.023,0.072,0.002,0.025
