,Unnamed: 0,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
0,12190,Sang-hoon Ahn,"writer,director",0.0,0.0,0.212,0.203,0.104
1,12194,Eric England,director,0.0,0.0,0.15,0.212,0.09
2,12195,Craig Walendziak,writer,0.0,0.0,0.131,0.176,0.077
3,12188,B. Harrison Smith,"director,writer",0.0,0.0,0.158,0.129,0.072
4,12185,Brant Sersen,director,0.0,0.0,0.158,0.107,0.066
5,12192,Peng Ren,writer,0.0,0.0,0.142,0.088,0.057
6,12193,Andy Yoon,writer,0.0,0.0,0.176,0.026,0.051
7,6,Ben Hecht,"writer,director",0.001,0.034,0.077,0.006,0.029
8,96,Michael Curtiz,director,0.001,0.023,0.072,0.002,0.025
9,59,Darryl F. Zanuck,"producer,writer,director",0.0,0.02,0.074,0.003,0.024
10,65,Norman Taurog,director,0.0,0.019,0.073,0.002,0.024
11,141,Joseph L. Mankiewicz,"writer,director,producer",0.0,0.019,0.074,0.002,0.023
12,0,William Shakespeare,writer,0.0,0.005,0.077,0.01,0.023
13,142,George Cukor,director,0.0,0.017,0.073,0.002,0.023
14,196,Howard Hawks,"director,writer",0.0,0.017,0.072,0.001,0.023
15,27,John Huston,"director,writer",0.0,0.012,0.075,0.004,0.023
16,591,John Lee Mahin,writer,0.0,0.018,0.071,0.001,0.023
17,293,Richard Thorpe,director,0.0,0.017,0.072,0.001,0.023
18,380,John Ford,"director,producer",0.0,0.018,0.07,0.001,0.022
19,130,Raoul Walsh,director,0.0,0.015,0.071,0.002,0.022
