,nconst,name,roles,measure
0,nm0000636,William Shakespeare,writer,0.02606911777595779
1,nm0000339,Roger Corman,"director,producer,writer",0.019059521608900093
2,nm0204862,John Davis,producer,0.017114773046759093
3,nm0281507,Richard Fleischer,director,0.016899771697342404
4,nm0406772,Takashige Ichise,"producer,writer,director",0.015296300076494247
5,nm0324875,Menahem Golan,"producer,director,writer",0.014969859729868602
6,nm0372942,Ben Hecht,"writer,director",0.014218035735378269
7,nm0000041,Akira Kurosawa,"writer,director",0.0121801170762063
8,nm0322946,Yoram Globus,producer,0.012128714292970768
9,nm0586969,Arnon Milchan,producer,0.01208197593191623
10,nm0000229,Steven Spielberg,"director,producer,writer",0.01205003863363551
11,nm0001801,Robert Towne,"writer,director",0.011743381076384625
12,nm0007139,Hark Tsui,"director,producer,writer",0.011574292301976001
13,nm0000175,Stephen King,"writer,director",0.011383899826026504
14,nm0004976,Brian Grazer,"producer,writer",0.01137692908746441
15,nm0393094,Ishirô Honda,"director,writer",0.011352399021130215
16,nm0000247,John Woo,"director,writer,producer",0.011062367504596781
17,nm0748784,Scott Rudin,producer,0.01061693356733859
18,nm0000600,Sam Raimi,"producer,director,writer",0.010544208933902528
19,nm0005428,Joel Silver,producer,0.010501650717345011
20,nm0849083,Tomoyuki Tanaka,"producer,writer",0.010432766072987869
21,nm0224537,Moshe Diamant,"producer,writer",0.010332373422858403
22,nm0000590,Edgar Allan Poe,writer,0.010133186912334703
23,nm0522454,H.P. Lovecraft,writer,0.010132724319608405
24,nm0083696,Roger Birnbaum,producer,0.010051821823983146
25,nm0791217,Mary Shelley,writer,0.009939614682651773
26,nm0297935,Kinji Fukasaku,director,0.00942354628495639
27,nm0001379,John Huston,"director,writer",0.009206287976820667
28,nm0644823,Hideo Oguni,writer,0.008725532247952464
29,nm0000631,Ridley Scott,"director,producer",0.008600457184793934
30,nm0503592,Avi Lerner,producer,0.008529210746552279
31,nm0001486,Sidney Lumet,director,0.008512336204368136
32,nm0326512,Steve Golin,producer,0.00842309351450978
33,nm0560857,W. Somerset Maugham,writer,0.008389658681255737
34,nm0490375,David Michael Latt,"producer,director,writer",0.008368809443928768
35,nm0000217,Martin Scorsese,"director,producer,writer",0.008342599206804012
36,nm0001353,Walter Hill,"director,producer,writer",0.008254751269204039
37,nm0236279,Arthur Conan Doyle,writer,0.0081245424991528
38,nm0831290,Bram Stoker,writer,0.007838875106603707
39,nm0829044,Robert Louis Stevenson,writer,0.007756232893375933
40,nm0256542,Randall Emmett,producer,0.00769919703287904
