,nconst,name,roles,measure
0,nm1017500,Sang-hoon Ahn,"writer,director",0.7083333333333334
1,nm7869716,Gigi Qi,producer,0.6538461538461539
2,nm3125601,Brian Gallagher,producer,0.6333333333333333
3,nm0325181,Darren Goldberg,producer,0.625
4,nm3329072,Tiffany Caprice,producer,0.59375
5,nm4765142,Andy Yoon,writer,0.5862068965517241
6,nm1993920,Anisa Qureshi,producer,0.5555555555555556
7,nm4461680,Xiaobai Gu,writer,0.5483870967741935
8,nm7008275,Shin Arum,producer,0.5483870967741935
9,nm7187470,Jae-Hoon Noh,producer,0.5483870967741935
10,nm2402050,B. Harrison Smith,"director,writer",0.5277777777777778
11,nm1442694,Brant Sersen,director,0.5263157894736842
12,nm0740427,Kirk Roos,producer,0.5128205128205128
13,nm3146718,Eric England,director,0.5
14,nm0550521,Chris Marsh,producer,0.4878048780487805
15,nm3244902,Derek Lindeman,writer,0.48717948717948717
16,nm10431442,Jonathan Ilchert,producer,0.48717948717948717
17,nm3063966,John Guarnere,producer,0.48717948717948717
18,nm2591458,J.D. Lifshitz,producer,0.4857142857142857
19,nm4193081,Raphael Margules,producer,0.4857142857142857
20,nm5668578,David Agnew Penn,writer,0.475
21,nm5311712,Connie Roberts,producer,0.475
22,nm1788605,David J. Bonner,producer,0.475
23,nm5349173,Aram Choi,producer,0.4722222222222222
24,nm1706468,Seong-geun Park,producer,0.4722222222222222
25,nm1936347,Dong-won Kim,director,0.4722222222222222
26,nm6482501,Peng Ren,writer,0.4722222222222222
27,nm5149457,Moon-bo Shim,producer,0.4722222222222222
28,nm5349154,Tae-gon Chang,producer,0.4722222222222222
29,nm3095307,Tim Macy,writer,0.46511627906976744
30,nm4113381,Natalie Simpkins,producer,0.46511627906976744
31,nm1645871,James Graves,producer,0.46511627906976744
32,nm1310794,Ramaa Mosley,director,0.46511627906976744
33,nm4623989,Min-seok Choi,writer,0.4473684210526316
34,nm2044045,Lizhi Chen,producer,0.4473684210526316
35,nm0514952,Jie Liu,director,0.4473684210526316
36,nm13229087,Bang Hoo-ho,producer,0.4473684210526316
37,nm4251668,Eric B. Fleischman,producer,0.4473684210526316
38,nm6091305,Craig Walendziak,writer,0.4358974358974359
39,nm3510596,Sean Tabibian,producer,0.4146341463414634
40,nm3053690,James Baker,producer,0.41304347826086957
41,nm2381085,Charlie Anderson,director,0.41304347826086957
42,nm3613769,Matthew Nadu,producer,0.41304347826086957
43,nm3537052,Erica Lenart,producer,0.41304347826086957
44,nm3144680,Patrick John Carr,producer,0.41304347826086957
45,nm2735837,Graham Denman,writer,0.3953488372093023
46,nm1454009,Nitasha Bhambree,producer,0.39215686274509803
47,nm1002494,Taylor Phillips,producer,0.39215686274509803
48,nm0583931,Joe Miale,writer,0.39215686274509803
49,nm1386500,Declan Mulvey,director,0.39215686274509803
50,nm2288112,Christopher Curran,writer,0.39215686274509803
51,nm3573986,Charles Mosley,director,0.3877551020408163
52,nm3579464,Le N. Harding,producer,0.3877551020408163
53,nm1141362,Josh Forbes,director,0.38636363636363635
54,nm0257686,George Englund Jr.,producer,0.36538461538461536
55,nm2213145,Tom Mattera,director,0.36538461538461536
56,nm1698198,David Mazzoni,director,0.36538461538461536
57,nm3210041,Abel Vang,director,0.36363636363636365
58,nm1444314,Brian Steinberg,writer,0.36363636363636365
59,nm6686761,Cheng Yang,producer,0.36363636363636365
60,nm3255161,Burlee Vang,director,0.36363636363636365
61,nm1441438,Peter D. Gelles,producer,0.36363636363636365
62,nm6686760,Leng Yang,producer,0.36363636363636365
63,nm0496076,Chris Lechler,producer,0.36363636363636365
64,nm3329156,Joe Raffa,director,0.3584905660377358
65,nm1970591,Leste Chen,director,0.3333333333333333
66,nm8848481,Ning Li,producer,0.3333333333333333
67,nm4977228,Matthew McCarty,writer,0.3333333333333333
68,nm0250180,Luke Edwards,producer,0.3333333333333333
69,nm4122751,David Harris,producer,0.3333333333333333
70,nm5384593,Todd Remis,producer,0.3333333333333333
