,nconst,name,roles,measure
0,nm0372942,Ben Hecht,"writer,director",0.006879383264628727
1,nm0002031,Michael Curtiz,director,0.005139461427271267
2,nm0909825,Raoul Walsh,director,0.004095508324856791
3,nm0204862,John Davis,producer,0.003988436211788639
4,nm0586969,Arnon Milchan,producer,0.0039081321269875255
5,nm0001379,John Huston,"director,writer",0.0039081321269875255
6,nm0851537,Norman Taurog,director,0.00385459607045345
7,nm0953123,Darryl F. Zanuck,"producer,writer,director",0.00385459607045345
8,nm0748784,Scott Rudin,producer,0.0038278280421864125
9,nm0503777,Mervyn LeRoy,"director,producer",0.003720755929118261
10,nm0324875,Menahem Golan,"producer,director,writer",0.0036136838160501093
11,nm0064415,William Beaudine,"director,writer",0.0036136838160501093
12,nm0000406,John Ford,"director,producer",0.0036136838160501093
13,nm0000636,William Shakespeare,writer,0.003586915787783072
14,nm0004976,Brian Grazer,"producer,writer",0.003586915787783072
15,nm0874308,Dalton Trumbo,"writer,director",0.003506611702981958
16,nm0322946,Yoram Globus,producer,0.0034798436747149205
17,nm0215877,Roy Del Ruth,director,0.0033995395899138066
18,nm0000229,Steven Spielberg,"director,producer,writer",0.0032924674768456553
19,nm0907003,Jerry Wald,"producer,writer",0.0032924674768456553
20,nm0123194,Edgar Rice Burroughs,writer,0.0032656994485786173
21,nm0550892,George Marshall,director,0.00323893142031158
22,nm0002030,George Cukor,director,0.00323893142031158
23,nm0861703,Richard Thorpe,director,0.003212163392044542
24,nm0000581,Joseph L. Mankiewicz,"writer,director,producer",0.003185395363777504
25,nm0000339,Roger Corman,"director,producer,writer",0.0030515552224423146
26,nm0001328,Howard Hawks,"director,writer",0.0030515552224423146
27,nm0547966,Frances Marion,"writer,director",0.0030515552224423146
28,nm0235066,Gordon Douglas,"director,writer",0.0030247871941752767
29,nm0000175,Stephen King,"writer,director",0.0029712511376412012
30,nm0005428,Joel Silver,producer,0.0029712511376412012
31,nm0083696,Roger Birnbaum,producer,0.0029444831093741633
32,nm0001486,Sidney Lumet,director,0.002890947052840088
33,nm0536941,John Lee Mahin,writer,0.002890947052840088
34,nm0368871,Henry Hathaway,director,0.00286417902457305
35,nm0886754,W.S. Van Dyke,"director,writer",0.00286417902457305
36,nm0920074,William A. Wellman,"director,writer",0.002837410996306012
37,nm0664990,Joe Pasternak,producer,0.002810642968038974
38,nm0849083,Tomoyuki Tanaka,"producer,writer",0.002810642968038974
39,nm0605775,Neal H. Moritz,producer,0.0027571069115048985
40,nm0079677,Tim Bevan,producer,0.0027571069115048985
41,nm0176699,Jack Conway,director,0.0027571069115048985
42,nm0909259,Hal B. Wallis,producer,0.0027303388832378606
43,nm0502752,Robert Z. Leonard,director,0.0027303388832378606
44,nm0441947,Sam Katzman,producer,0.0027035708549708226
45,nm0000631,Ridley Scott,"director,producer",0.0027035708549708226
46,nm0281507,Richard Fleischer,director,0.0027035708549708226
47,nm0542534,Herman J. Mankiewicz,writer,0.002650034798436747
48,nm0397022,Sonya Levien,writer,0.002650034798436747
49,nm0480673,Carl Laemmle Jr.,producer,0.0025964987419026713
50,nm0124918,Frank Butler,writer,0.0025964987419026713
51,nm0817809,Ralph Spence,writer,0.0025964987419026713
52,nm0782682,William A. Seiter,director,0.0025697307136356333
53,nm0425913,Nunnally Johnson,"writer,director",0.0025697307136356333
54,nm0547938,George Marion Jr.,writer,0.0025429626853685954
55,nm0245385,Allan Dwan,"director,producer,writer",0.002516194657101558
56,nm0332539,Edmund Goulding,"director,writer",0.00248942662883452
57,nm0454771,Henry King,director,0.00248942662883452
58,nm0589316,Seton I. Miller,writer,0.00248942662883452
59,nm0307819,Tay Garnett,"director,writer",0.00248942662883452
60,nm0000231,Oliver Stone,"writer,director,producer",0.002462658600567482
61,nm0000217,Martin Scorsese,"director,producer,writer",0.002462658600567482
62,nm0629580,Dudley Nichols,"writer,director",0.002462658600567482
63,nm0107756,Lou Breslow,writer,0.002435890572300444
64,nm0326512,Steve Golin,producer,0.002435890572300444
65,nm0268513,John Farrow,"director,writer",0.002435890572300444
66,nm0448839,Robert E. Kent,"writer,producer",0.002435890572300444
67,nm0168829,Lenore J. Coffee,writer,0.002435890572300444
68,nm0340719,Zane Grey,writer,0.002435890572300444
69,nm0075825,Pandro S. Berman,producer,0.0024091225440334065
70,nm0045800,Lloyd Bacon,director,0.0024091225440334065
71,nm0102818,Charles Brackett,"writer,producer",0.0024091225440334065
72,nm0591486,Vincente Minnelli,director,0.0024091225440334065
73,nm0943758,William Wyler,director,0.0023823545157663686
74,nm0122446,W.R. Burnett,writer,0.0023823545157663686
75,nm0850895,Frank Tashlin,"writer,director",0.0023555864874993306
76,nm0572851,Norman Z. McLeod,"director,writer",0.0023555864874993306
