,nconst,name,roles,measure
0,nm0372942,Ben Hecht,"writer,director",0.16769836434824734
1,nm0002031,Michael Curtiz,director,0.11702280101180426
2,nm0953123,Darryl F. Zanuck,"producer,writer,director",0.09984826036129019
3,nm0851537,Norman Taurog,director,0.09353679952061277
4,nm0000581,Joseph L. Mankiewicz,"writer,director,producer",0.09250452786362423
5,nm0000406,John Ford,"director,producer",0.09137714078707712
6,nm0536941,John Lee Mahin,writer,0.09111510406994863
7,nm0503777,Mervyn LeRoy,"director,producer",0.08580524228097451
8,nm0001328,Howard Hawks,"director,writer",0.08564516199076809
9,nm0002030,George Cukor,director,0.08479871044656977
10,nm0861703,Richard Thorpe,director,0.0840986397534976
11,nm0907003,Jerry Wald,"producer,writer",0.08117372688282819
12,nm0550892,George Marshall,director,0.07864400661304938
13,nm0215877,Roy Del Ruth,director,0.07840430433304797
14,nm0368871,Henry Hathaway,director,0.07797530705648269
15,nm0909825,Raoul Walsh,director,0.07727217077665534
16,nm0886754,W.S. Van Dyke,"director,writer",0.07606355572952471
17,nm0397022,Sonya Levien,writer,0.07585057380098514
18,nm0176699,Jack Conway,director,0.07578508854820164
19,nm0542534,Herman J. Mankiewicz,writer,0.07331147136069123
20,nm0502752,Robert Z. Leonard,director,0.07307332654350657
21,nm0920074,William A. Wellman,"director,writer",0.07295001876348117
22,nm0332539,Edmund Goulding,"director,writer",0.07018974923488087
23,nm0454771,Henry King,director,0.06874138782746761
24,nm0649183,George Oppenheimer,writer,0.06761357307906757
25,nm0281808,Victor Fleming,director,0.06750737651656177
26,nm0876223,Harry Tugend,"writer,producer",0.06713694808836544
27,nm0124918,Frank Butler,writer,0.06428978490475115
28,nm0664990,Joe Pasternak,producer,0.06395137873684885
29,nm0499628,Gladys Lehman,writer,0.06366291437628695
30,nm0547966,Frances Marion,"writer,director",0.06330132102074476
31,nm0829330,Donald Ogden Stewart,writer,0.06190490710443403
32,nm0001379,John Huston,"director,writer",0.06177502256306205
33,nm0467396,Henry Koster,"director,writer",0.06136962947360687
34,nm0122446,W.R. Burnett,writer,0.06130880202813483
35,nm0873707,Lamar Trotti,writer,0.06013195712189716
36,nm0442151,George S. Kaufman,writer,0.0601123250697207
37,nm0729694,Allen Rivkin,writer,0.06007683923526641
38,nm0797012,Sol C. Siegel,producer,0.05968327270627628
39,nm0307819,Tay Garnett,"director,writer",0.05875002382836168
40,nm0939992,Sam Wood,director,0.05849332662631644
41,nm0589316,Seton I. Miller,writer,0.0584579159433159
42,nm0168829,Lenore J. Coffee,writer,0.058257966384145765
43,nm0375500,Sam Hellman,writer,0.05812669708602863
44,nm0335455,James Edward Grant,"writer,director",0.05795995568222528
45,nm0909259,Hal B. Wallis,producer,0.057742167381401956
46,nm0469915,Norman Krasna,"writer,producer,director",0.057363363075868985
47,nm0326418,Samuel Goldwyn,producer,0.057222244103388206
48,nm0485943,Walter Lang,director,0.05706319236236511
49,nm0629580,Dudley Nichols,"writer,director",0.05703885663826258
50,nm0531269,Charles MacArthur,writer,0.05693639558746217
51,nm0002616,Anita Loos,writer,0.05672458547863704
52,nm0083125,Claude Binyon,"director,writer",0.05654886546741497
53,nm0428177,Grover Jones,writer,0.0560662622367892
54,nm0943758,William Wyler,director,0.05572708550929267
55,nm0425913,Nunnally Johnson,"writer,director",0.05568749922404446
56,nm0496468,Charles Lederer,writer,0.05558490829024951
57,nm0572851,Norman Z. McLeod,"director,writer",0.0555236145051029
58,nm0821716,Laurence Stallings,writer,0.05508384701596946
59,nm0520501,Robert Lord,"writer,producer",0.05401838540836828
60,nm0358564,Oscar Hammerstein II,writer,0.053636897578946005
61,nm0045800,Lloyd Bacon,director,0.05356769262271549
62,nm0938439,P.J. Wolfson,"director,writer",0.0535616186196407
63,nm0102818,Charles Brackett,"writer,producer",0.05313976127196
64,nm0817809,Ralph Spence,writer,0.052994614783951274
65,nm0308177,Oliver H.P. Garrett,writer,0.052890815648095765
